instance,benchmark_set,J,T,C,density,solver,config,comb_cuts,frac_cuts,triplet_bounds,status,obj,obj_ktns,time_s,gap_pct,nodes,lp_iters,cb_invocations,cuts_sec,cuts_benders,cuts_comb,cuts_frac,root_lp_bound,dual_bound,notes
L2-9,Laporte3,8,15,10,0.2167,LSS,LSS,,,,MIP_optimal,15.0,15,11.2823,,,,,,,,,,,
L1-2,Laporte3,8,15,5,0.2583,LSS,LSS,,,,MIP_optimal,17.0,17,2.4776,,,,,,,,,,,
L3-3,Laporte3,8,15,10,0.4,LSS,LSS,,,,MIP_optimal,16.0,16,4.0585,,,,,,,,,,,
L4-2,Laporte3,8,15,10,0.5083,LSS,LSS,,,,MIP_optimal,18.0,18,1.3614,,,,,,,,,,,
L34-10,Laporte3,8,20,15,0.1812,LSS,LSS,,,,MIP_optimal,20.0,20,14.0865,,,,,,,,,,,
L33-2,Laporte3,8,20,10,0.2,LSS,LSS,,,,MIP_optimal,20.0,20,17.0644,,,,,,,,,,,
L33-3,Laporte3,8,20,10,0.2125,LSS,LSS,,,,MIP_optimal,20.0,20,20.0583,,,,,,,,,,,
L5-5,Laporte3,8,20,10,0.2812,LSS,LSS,,,,MIP_optimal,21.0,21,11.0342,,,,,,,,,,,
L7-7,Laporte3,8,20,15,0.3375,LSS,LSS,,,,MIP_optimal,20.0,20,14.6097,,,,,,,,,,,
L9-9,Laporte3,8,20,15,0.3625,LSS,LSS,,,,MIP_optimal,20.0,20,10.9906,,,,,,,,,,,
L9-3,Laporte3,8,20,15,0.3937,LSS,LSS,,,,MIP_optimal,20.0,20,15.703,,,,,,,,,,,
L5-1,Laporte3,8,20,10,0.4375,LSS,LSS,,,,MIP_optimal,30.0,30,0.414,,,,,,,,,,,
L8-5,Laporte3,8,20,15,0.525,LSS,LSS,,,,MIP_optimal,22.0,22,5.5899,,,,,,,,,,,
L11-4,Laporte3,8,20,15,0.6188,LSS,LSS,,,,MIP_optimal,25.0,25,0.9066,,,,,,,,,,,
L28-2,Laporte3,8,25,5,0.125,LSS,LSS,,,,MIP_optimal,25.0,25,27.2512,,,,,,,,,,,
L30-7,Laporte3,8,25,15,0.155,LSS,LSS,,,,MIP_optimal,25.0,25,17.7686,,,,,,,,,,,
L29-6,Laporte3,8,25,10,0.16,LSS,LSS,,,,MIP_optimal,25.0,25,22.8639,,,,,,,,,,,
L29-9,Laporte3,8,25,10,0.165,LSS,LSS,,,,MIP_optimal,25.0,25,21.2886,,,,,,,,,,,
L12-4,Laporte3,8,25,10,0.225,LSS,LSS,,,,MIP_optimal,26.0,26,21.3276,,,,,,,,,,,
L12-6,Laporte3,8,25,10,0.27,LSS,LSS,,,,MIP_optimal,26.0,26,12.6733,,,,,,,,,,,
L19-4,Laporte3,8,25,20,0.28,LSS,LSS,,,,MIP_optimal,25.0,25,15.5121,,,,,,,,,,,
L16-4,Laporte3,8,25,15,0.29,LSS,LSS,,,,MIP_optimal,25.0,25,20.8898,,,,,,,,,,,
L16-7,Laporte3,8,25,15,0.305,LSS,LSS,,,,MIP_optimal,25.0,25,23.2078,,,,,,,,,,,
L22-8,Laporte3,8,25,20,0.32,LSS,LSS,,,,MIP_optimal,25.0,25,15.612,,,,,,,,,,,
L20-5,Laporte3,8,25,20,0.33,LSS,LSS,,,,MIP_optimal,25.0,25,52.8971,,,,,,,,,,,
L23-2,Laporte3,8,25,20,0.36,LSS,LSS,,,,MIP_optimal,25.0,25,17.4363,,,,,,,,,,,
L20-6,Laporte3,8,25,20,0.385,LSS,LSS,,,,MIP_optimal,25.0,25,18.7757,,,,,,,,,,,
