instance,benchmark_set,J,T,C,density,solver,config,comb_cuts,frac_cuts,triplet_bounds,status,obj,obj_ktns,time_s,gap_pct,nodes,lp_iters,cb_invocations,cuts_sec,cuts_benders,cuts_comb,cuts_frac,root_lp_bound,dual_bound,notes
L2-1,Laporte3,8,15,10,0.2333,SSPMF,SSPMF,,,,MIP_optimal,5.0,15,0.0512,,,,,,,,,,,
L2-7,Laporte3,8,15,10,0.2667,SSPMF,SSPMF,,,,MIP_optimal,5.0,15,0.0675,,,,,,,,,,,
L3-10,Laporte3,8,15,10,0.425,SSPMF,SSPMF,,,,MIP_optimal,8.0,18,1.4351,,,,,,,,,,,
L3-6,Laporte3,8,15,10,0.525,SSPMF,SSPMF,,,,MIP_optimal,9.0,19,4.8916,,,,,,,,,,,
L32-10,Laporte3,8,20,5,0.1812,SSPMF,SSPMF,,,,MIP_optimal,16.0,21,0.546,,,,,,,,,,,
L34-8,Laporte3,8,20,15,0.2062,SSPMF,SSPMF,,,,MIP_optimal,5.0,20,0.056,,,,,,,,,,,
L32-3,Laporte3,8,20,5,0.2125,SSPMF,SSPMF,,,,MIP_optimal,19.0,24,8.6322,,,,,,,,,,,
L5-8,Laporte3,8,20,10,0.2938,SSPMF,SSPMF,,,,MIP_optimal,11.0,21,2.4865,,,,,,,,,,,
L7-8,Laporte3,8,20,15,0.35,SSPMF,SSPMF,,,,MIP_optimal,5.0,20,0.0708,,,,,,,,,,,
L10-7,Laporte3,8,20,15,0.375,SSPMF,SSPMF,,,,MIP_optimal,5.0,20,0.2102,,,,,,,,,,,
L5-6,Laporte3,8,20,10,0.3937,SSPMF,SSPMF,,,,MIP_optimal,16.0,26,12.0681,,,,,,,,,,,
L9-1,Laporte3,8,20,15,0.45,SSPMF,SSPMF,,,,MIP_optimal,5.0,20,0.5966,,,,,,,,,,,
L8-3,Laporte3,8,20,15,0.5312,SSPMF,SSPMF,,,,MIP_optimal,7.0,22,2.7611,,,,,,,,,,,
L8-8,Laporte3,8,20,15,0.625,SSPMF,SSPMF,,,,MIP_optimal,12.0,27,10.6701,,,,,,,,,,,
L30-3,Laporte3,8,25,15,0.13,SSPMF,SSPMF,,,,MIP_optimal,10.0,25,0.0564,,,,,,,,,,,
L29-5,Laporte3,8,25,10,0.155,SSPMF,SSPMF,,,,MIP_optimal,15.0,25,0.0844,,,,,,,,,,,
L28-10,Laporte3,8,25,5,0.16,SSPMF,SSPMF,,,,MIP_optimal,20.0,25,0.2853,,,,,,,,,,,
L28-9,Laporte3,8,25,5,0.165,SSPMF,SSPMF,,,,MIP_optimal,20.0,25,0.4247,,,,,,,,,,,
L12-3,Laporte3,8,25,10,0.25,SSPMF,SSPMF,,,,MIP_optimal,17.0,27,8.4797,,,,,,,,,,,
L19-6,Laporte3,8,25,20,0.275,SSPMF,SSPMF,,,,MIP_optimal,5.0,25,0.0764,,,,,,,,,,,
L22-7,Laporte3,8,25,20,0.285,SSPMF,SSPMF,,,,MIP_optimal,5.0,25,0.0617,,,,,,,,,,,
L13-1,Laporte3,8,25,10,0.29,SSPMF,SSPMF,,,,MIP_optimal,19.0,29,10.0016,,,,,,,,,,,
L22-1,Laporte3,8,25,20,0.31,SSPMF,SSPMF,,,,MIP_optimal,5.0,25,0.0481,,,,,,,,,,,
L16-3,Laporte3,8,25,15,0.32,SSPMF,SSPMF,,,,MIP_optimal,10.0,25,1.6715,,,,,,,,,,,
L17-8,Laporte3,8,25,15,0.33,SSPMF,SSPMF,,,,MIP_optimal,10.0,25,2.097,,,,,,,,,,,
L23-8,Laporte3,8,25,20,0.36,SSPMF,SSPMF,,,,MIP_optimal,5.0,25,0.1432,,,,,,,,,,,
L23-4,Laporte3,8,25,20,0.39,SSPMF,SSPMF,,,,MIP_optimal,5.0,25,0.3286,,,,,,,,,,,
L24-5,Laporte3,8,25,20,0.415,SSPMF,SSPMF,,,,MIP_optimal,6.0,26,2.6681,,,,,,,,,,,
L21-10,Laporte3,8,25,20,0.465,SSPMF,SSPMF,,,,MIP_optimal,7.0,27,2.5305,,,,,,,,,,,
L25-1,Laporte3,8,25,20,0.495,SSPMF,SSPMF,,,,MIP_optimal,6.0,26,5.4269,,,,,,,,,,,
L18-6,Laporte3,8,25,15,0.505,SSPMF,SSPMF,,,,MIP_optimal,21.0,36,18.8098,,,,,,,,,,,
L24-9,Laporte3,8,25,20,0.53,SSPMF,SSPMF,,,,MIP_optimal,7.0,27,4.7491,,,,,,,,,,,
L26-7,Laporte3,8,25,20,0.59,SSPMF,SSPMF,,,,MIP_optimal,9.0,29,9.0038,,,,,,,,,,,
L27-8,Laporte3,8,25,20,0.695,SSPMF,SSPMF,,,,MIP_optimal,13.0,33,7.8757,,,,,,,,,,,
L2-9,Laporte4,9,15,10,0.2296,SSPMF,SSPMF,,,,MIP_optimal,5.0,15,0.0575,,,,,,,,,,,
L2-5,Laporte4,9,15,10,0.2667,SSPMF,SSPMF,,,,MIP_optimal,5.0,15,0.0681,,,,,,,,,,,
L3-5,Laporte4,9,15,10,0.3852,SSPMF,SSPMF,,,,MIP_optimal,5.0,15,0.1784,,,,,,,,,,,
L4-8,Laporte4,9,15,10,0.5333,SSPMF,SSPMF,,,,MIP_optimal,9.0,19,6.9394,,,,,,,,,,,
L29-4,Laporte4,9,20,15,0.1778,SSPMF,SSPMF,,,,MIP_optimal,5.0,20,0.0426,,,,,,,,,,,
L29-3,Laporte4,9,20,15,0.1944,SSPMF,SSPMF,,,,MIP_optimal,5.0,20,0.0819,,,,,,,,,,,
L27-5,Laporte4,9,20,5,0.2056,SSPMF,SSPMF,,,,MIP_optimal,19.0,24,8.7055,,,,,,,,,,,
L5-6,Laporte4,9,20,10,0.2889,SSPMF,SSPMF,,,,MIP_optimal,12.0,22,11.309,,,,,,,,,,,
L9-9,Laporte4,9,20,15,0.3444,SSPMF,SSPMF,,,,MIP_optimal,5.0,20,0.3205,,,,,,,,,,,
L6-3,Laporte4,9,20,10,0.3722,SSPMF,SSPMF,,,,MIP_optimal,18.0,28,26.971,,,,,,,,,,,
L6-1,Laporte4,9,20,10,0.4111,SSPMF,SSPMF,,,,MIP_optimal,20.0,30,19.7383,,,,,,,,,,,
L8-7,Laporte4,9,20,15,0.4556,SSPMF,SSPMF,,,,MIP_optimal,9.0,24,9.4878,,,,,,,,,,,
L10-8,Laporte4,9,20,15,0.5333,SSPMF,SSPMF,,,,MIP_optimal,7.0,22,6.3179,,,,,,,,,,,
L11-3,Laporte4,9,20,15,0.6333,SSPMF,SSPMF,,,,MIP_optimal,13.0,28,28.0099,,,,,,,,,,,
L32-2,Laporte4,9,25,15,0.1422,SSPMF,SSPMF,,,,MIP_optimal,10.0,25,0.0724,,,,,,,,,,,
L32-10,Laporte4,9,25,15,0.1511,SSPMF,SSPMF,,,,MIP_optimal,10.0,25,0.0823,,,,,,,,,,,
L31-9,Laporte4,9,25,10,0.1556,SSPMF,SSPMF,,,,MIP_optimal,15.0,25,0.0875,,,,,,,,,,,
L32-8,Laporte4,9,25,15,0.1644,SSPMF,SSPMF,,,,MIP_optimal,10.0,25,0.062,,,,,,,,,,,
L12-10,Laporte4,9,25,10,0.24,SSPMF,SSPMF,,,,MIP_optimal,17.0,27,8.4275,,,,,,,,,,,
L18-9,Laporte4,9,25,20,0.2711,SSPMF,SSPMF,,,,MIP_optimal,5.0,25,0.0815,,,,,,,,,,,
L12-8,Laporte4,9,25,10,0.2844,SSPMF,SSPMF,,,,MIP_optimal,22.0,32,29.139,,,,,,,,,,,
L21-7,Laporte4,9,25,20,0.3022,SSPMF,SSPMF,,,,MIP_optimal,5.0,25,0.0916,,,,,,,,,,,
L21-3,Laporte4,9,25,20,0.3156,SSPMF,SSPMF,,,,MIP_optimal,5.0,25,0.0862,,,,,,,,,,,
L19-3,Laporte4,9,25,20,0.3289,SSPMF,SSPMF,,,,MIP_optimal,5.0,25,0.1547,,,,,,,,,,,
L15-1,Laporte4,9,25,15,0.36,SSPMF,SSPMF,,,,MIP_optimal,14.0,29,20.7314,,,,,,,,,,,
L19-2,Laporte4,9,25,20,0.3822,SSPMF,SSPMF,,,,MIP_optimal,5.0,25,0.1566,,,,,,,,,,,
L16-8,Laporte4,9,25,15,0.4,SSPMF,SSPMF,,,,MIP_optimal,17.0,32,23.6748,,,,,,,,,,,
L22-5,Laporte4,9,25,20,0.4533,SSPMF,SSPMF,,,,MIP_optimal,6.0,26,10.541,,,,,,,,,,,
L16-6,Laporte4,9,25,15,0.48,SSPMF,SSPMF,,,,MIP_optimal,22.0,37,29.582,,,,,,,,,,,
L23-7,Laporte4,9,25,20,0.5067,SSPMF,SSPMF,,,,MIP_optimal,8.0,28,13.2849,,,,,,,,,,,
L24-6,Laporte4,9,25,20,0.5289,SSPMF,SSPMF,,,,MIP_optimal,8.0,28,45.0512,,,,,,,,,,,
L25-1,Laporte4,9,25,20,0.6356,SSPMF,SSPMF,,,,MIP_optimal,13.0,33,29.7491,,,,,,,,,,,
