instance,benchmark_set,J,T,C,density,solver,config,comb_cuts,frac_cuts,triplet_bounds,status,obj,obj_ktns,time_s,gap_pct,nodes,lp_iters,cb_invocations,cuts_sec,cuts_benders,cuts_comb,cuts_frac,root_lp_bound,dual_bound,notes
L2-2,Laporte3,8,15,10,0.2333,BBC,BBC-LP+T,False,False,True,MIP_optimal,15.0,15,0.027,0.0,0,0,1,0,0,0,0,,15.0,
L1-4,Laporte3,8,15,5,0.2667,BBC,BBC-LP+T,False,False,True,MIP_optimal,18.0,18,197.036,0.0,42168,94263,17407,731,17042,0,0,15.0,18.0,
L3-4,Laporte3,8,15,10,0.4333,BBC,BBC-LP+T,False,False,True,MIP_optimal,16.0,16,655.712,0.0,78394,157186,31434,779,31045,0,0,15.0,16.0,
L4-5,Laporte3,8,15,10,0.525,BBC,BBC-LP+T,False,False,True,MIP_optimal,22.0,22,179.996,0.0,38274,87322,15424,708,15071,0,0,15.0,22.0,
L34-4,Laporte3,8,20,15,0.1875,BBC,BBC-LP+T,False,False,True,MIP_optimal,20.0,20,0.014,0.0,0,0,1,0,0,0,0,,20.0,
L34-9,Laporte3,8,20,15,0.2062,BBC,BBC-LP+T,False,False,True,MIP_optimal,20.0,20,0.013,0.0,0,0,1,0,0,0,0,,20.0,
L32-6,Laporte3,8,20,5,0.2125,BBC,BBC-LP+T,False,False,True,MIP_optimal,22.0,22,18.402,0.0,13230,27486,4629,652,4301,0,0,20.0,22.0,
L7-5,Laporte3,8,20,15,0.3,BBC,BBC-LP+T,False,False,True,MIP_optimal,20.0,20,0.014,0.0,0,0,1,0,0,0,0,,20.0,
L5-4,Laporte3,8,20,10,0.35,BBC,BBC-LP+T,False,False,True,MIP_optimal,22.999999999999996,23,542.749,0.0,69224,165206,28904,813,28495,0,0,20.0,22.999999999999996,
L9-4,Laporte3,8,20,15,0.375,BBC,BBC-LP+T,False,False,True,MIP_optimal,20.0,20,7.436,0.0,5152,9001,2676,749,2301,0,0,20.0,20.0,
L5-9,Laporte3,8,20,10,0.3937,BBC,BBC-LP+T,False,False,True,MIP_optimal,28.0,28,135.684,0.0,34393,82065,13664,1051,13138,0,0,20.0,28.0,
L9-7,Laporte3,8,20,15,0.4562,BBC,BBC-LP+T,False,False,True,MIP_optimal,20.0,20,1.121,0.0,938,1680,518,226,402,0,0,20.0,20.0,
L10-5,Laporte3,8,20,15,0.5437,BBC,BBC-LP+T,False,False,True,MIP_optimal,24.0,24,560.086,0.0,69178,182871,27192,821,26780,0,0,20.0,24.0,
L11-3,Laporte3,8,20,15,0.65,BBC,BBC-LP+T,False,False,True,MIP_optimal,29.999999999999996,30,83.908,0.0,25980,55992,9582,701,9233,0,0,23.0,29.999999999999996,
L29-3,Laporte3,8,25,10,0.13,BBC,BBC-LP+T,False,False,True,MIP_optimal,25.0,25,0.016,0.0,0,0,1,0,0,0,0,,25.0,
L28-1,Laporte3,8,25,5,0.155,BBC,BBC-LP+T,False,False,True,MIP_optimal,25.0,25,0.018,0.0,0,20,6,11,0,0,0,25.0,25.0,
L28-6,Laporte3,8,25,5,0.16,BBC,BBC-LP+T,False,False,True,MIP_optimal,25.0,25,0.144,0.0,120,244,87,91,38,0,0,25.0,25.0,
L31-4,Laporte3,8,25,20,0.17,BBC,BBC-LP+T,False,False,True,MIP_optimal,25.0,25,0.016,0.0,0,0,1,0,0,0,0,,25.0,
