instance,benchmark_set,J,T,C,density,solver,config,comb_cuts,frac_cuts,triplet_bounds,status,obj,obj_ktns,time_s,gap_pct,nodes,lp_iters,cb_invocations,cuts_sec,cuts_benders,cuts_comb,cuts_frac,root_lp_bound,dual_bound,notes
L2-10,Laporte3,8,15,10,0.2,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,15.0,15,0.003,0.0,0,1,1,0,0,0,0,,15.0,
L2-8,Laporte3,8,15,10,0.2417,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,15.0,15,0.003,0.0,0,1,1,0,0,0,0,,15.0,
L1-7,Laporte3,8,15,5,0.2833,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,19.0,19,81.735,0.0,8545,42449,2011,360,1833,0,9525,15.0,19.0,
L3-1,Laporte3,8,15,10,0.475,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,17.0,17,2649.63,0.0,25325,345289,1868,619,1563,0,72354,15.0,17.0,
L34-1,Laporte3,8,20,15,0.1688,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,20.0,20,0.003,0.0,0,1,1,0,0,0,0,,20.0,
L33-5,Laporte3,8,20,10,0.1938,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,20.0,20,0.003,0.0,0,1,1,0,0,0,0,,20.0,
L32-9,Laporte3,8,20,5,0.2062,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,21.0,21,142.027,0.0,15469,52420,4036,502,3787,0,9578,20.0,21.0,
L7-2,Laporte3,8,20,15,0.275,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,20.0,20,0.003,0.0,0,1,1,0,0,0,0,,20.0,
L5-7,Laporte3,8,20,10,0.325,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,22.0,22,3261.019,0.0,56576,256687,15257,733,14892,0,58658,20.0,22.0,
L6-8,Laporte3,8,20,10,0.35,BBC,BBC-LP+ACC,False,True,False,MIP_time_limit_feasible,23.0,23,3600.055,8.695652173913244,44716,309085,8681,660,8357,0,73304,20.0,20.999999999999954,
L6-4,Laporte3,8,20,10,0.3875,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,26.0,26,807.535,0.0,15261,138476,2495,481,2256,0,35168,20.0,26.0,
L6-1,Laporte3,8,20,10,0.4125,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,29.0,29,947.595,0.0,20435,134133,4764,570,4480,0,33562,23.0,29.0,
L10-2,Laporte3,8,20,15,0.5125,BBC,BBC-LP+ACC,False,True,False,MIP_time_limit_feasible,24.0,24,3600.073,15.046296296296294,28315,352319,2509,684,2172,0,75093,20.0,20.38888888888889,
L11-1,Laporte3,8,20,15,0.6062,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,25.0,25,762.023,0.0,17123,145923,2388,409,2186,0,33143,20.0,25.0,
L31-2,Laporte3,8,25,20,0.125,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,25.0,25,0.003,0.0,0,1,1,0,0,0,0,,25.0,
L31-7,Laporte3,8,25,20,0.155,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,25.0,25,0.003,0.0,0,1,1,0,0,0,0,,25.0,
L30-10,Laporte3,8,25,15,0.16,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,25.0,25,0.003,0.0,0,1,1,0,0,0,0,,25.0,
L30-8,Laporte3,8,25,15,0.165,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,25.0,25,0.003,0.0,0,1,1,0,0,0,0,,25.0,
L19-5,Laporte3,8,25,20,0.215,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,25.0,25,0.003,0.0,0,1,1,0,0,0,0,,25.0,
L20-2,Laporte3,8,25,20,0.27,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,25.0,25,0.003,0.0,0,1,1,0,0,0,0,,25.0,
L12-5,Laporte3,8,25,10,0.275,BBC,BBC-LP+ACC,False,True,False,MIP_time_limit_feasible,31.0,31,3600.033,19.35483870967742,34933,328112,4422,691,4078,0,84563,25.0,25.0,
L14-2,Laporte3,8,25,15,0.29,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,25.0,25,0.003,0.0,0,1,1,0,0,0,0,,25.0,
L19-3,Laporte3,8,25,20,0.3,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,25.0,25,0.003,0.0,0,1,1,0,0,0,0,,25.0,
L16-6,Laporte3,8,25,15,0.315,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,25.0,25,0.003,0.0,0,1,1,0,0,0,0,,25.0,
L16-2,Laporte3,8,25,15,0.325,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,25.0,25,0.003,0.0,0,1,1,0,0,0,0,,25.0,
L15-1,Laporte3,8,25,15,0.345,BBC,BBC-LP+ACC,False,True,False,MIP_time_limit_feasible,28.0,28,3600.044,10.714285714285714,65580,229126,22721,777,22333,0,47450,25.0,25.0,
L17-7,Laporte3,8,25,15,0.365,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,27.0,27,3394.802,0.0,65233,226936,22087,742,21721,0,45749,25.0,27.0,
L21-1,Laporte3,8,25,20,0.405,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,26.0,26,2331.434,0.0,74543,179217,31165,837,30748,0,23687,25.0,26.0,
L23-7,Laporte3,8,25,20,0.435,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,25.0,25,0.003,0.0,0,1,1,0,0,0,0,,25.0,
