instance,benchmark_set,J,T,C,density,solver,config,comb_cuts,frac_cuts,triplet_bounds,status,obj,obj_ktns,time_s,gap_pct,nodes,lp_iters,cb_invocations,cuts_sec,cuts_benders,cuts_comb,cuts_frac,root_lp_bound,dual_bound,notes
L2-2,Laporte3,8,15,10,0.2333,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,15.0,15,0.01,0.0,0,1,1,0,0,0,0,,15.0,
L1-4,Laporte3,8,15,5,0.2667,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,18.0,18,867.77,0.0,37940,178156,9252,695,8908,0,40793,15.0,18.0,
L3-4,Laporte3,8,15,10,0.4333,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,16.000000000000004,16,1863.68,0.0,62467,219564,21406,828,20992,0,48897,15.0,16.000000000000004,
L4-5,Laporte3,8,15,10,0.525,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,22.000000000000004,22,1957.959,0.0,26563,258842,4522,580,4239,0,69743,15.0,22.000000000000004,
L34-4,Laporte3,8,20,15,0.1875,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,20.0,20,0.013,0.0,0,1,1,0,0,0,0,,20.0,
L34-9,Laporte3,8,20,15,0.2062,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,20.0,20,0.014,0.0,0,1,1,0,0,0,0,,20.0,
L32-6,Laporte3,8,20,5,0.2125,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,22.0,22,62.956,0.0,11793,33768,4163,557,3884,0,5622,20.0,22.0,
L7-5,Laporte3,8,20,15,0.3,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,20.0,20,0.014,0.0,0,1,1,0,0,0,0,,20.0,
L5-4,Laporte3,8,20,10,0.35,BBC,BBC-LP+F+C,False,True,False,MIP_time_limit_feasible,23.0,23,3600.037,4.347826086956553,37500,407646,5408,756,5031,0,112288,20.0,21.999999999999993,
L9-4,Laporte3,8,20,15,0.375,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,20.0,20,3.198,0.0,1027,2338,575,295,425,0,359,20.0,20.0,
L5-9,Laporte3,8,20,10,0.3937,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,28.000000000000004,28,1571.196,0.0,19408,238795,2615,501,2366,0,66717,20.0,28.000000000000004,
L9-7,Laporte3,8,20,15,0.4562,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,20.0,20,2.031,0.0,607,1761,328,199,225,0,399,20.0,20.0,
L10-5,Laporte3,8,20,15,0.5437,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,24.0,24,3152.059,0.0,38477,395353,4106,696,3761,0,96508,20.0,24.0,
L11-3,Laporte3,8,20,15,0.65,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,29.999999999999996,30,772.997,0.0,20314,141576,4099,525,3839,0,37511,23.0,29.999999999999996,
L29-3,Laporte3,8,25,10,0.13,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,25.0,25,0.017,0.0,0,1,1,0,0,0,0,,25.0,
L28-1,Laporte3,8,25,5,0.155,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,25.0,25,2.801,0.0,871,1741,481,268,346,0,211,25.0,25.0,
L28-6,Laporte3,8,25,5,0.16,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,25.0,25,0.106,0.0,14,78,20,28,6,0,8,25.0,25.0,
L31-4,Laporte3,8,25,20,0.17,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,25.0,25,0.016,0.0,0,1,1,0,0,0,0,,25.0,
