instance,benchmark_set,J,T,C,density,solver,config,comb_cuts,frac_cuts,triplet_bounds,status,obj,obj_ktns,time_s,gap_pct,nodes,lp_iters,cb_invocations,cuts_sec,cuts_benders,cuts_comb,cuts_frac,root_lp_bound,dual_bound,notes
A0-0,Catanzaro,8,5,3,0.45,BBC,BBC-K,True,False,False,MIP_optimal,6.0,6,85.36,0.0,33885,74492,13524,774,0,13138,0,5.0,6.0,
L2-6,Laporte3,8,15,10,0.2417,BBC,BBC-K,True,False,False,MIP_optimal,15.0,15,0.002,0.0,0,0,1,0,0,0,0,,15.0,
L3-5,Laporte3,8,15,10,0.2833,BBC,BBC-K,True,False,False,MIP_optimal,15.0,15,0.002,0.0,0,0,1,0,0,0,0,,15.0,
L4-10,Laporte3,8,15,10,0.4667,BBC,BBC-K,True,False,False,MIP_optimal,18.0,18,502.622,0.0,68712,148644,32399,769,0,32013,0,15.0,18.0,
L4-8,Laporte3,8,15,10,0.5583,BBC,BBC-K,True,False,False,MIP_optimal,20.0,20,7.188,0.0,10555,23321,3498,532,0,3230,0,15.0,20.0,
L34-5,Laporte3,8,20,15,0.1938,BBC,BBC-K,True,False,False,MIP_optimal,20.0,20,0.002,0.0,0,0,1,0,0,0,0,,20.0,
L32-8,Laporte3,8,20,5,0.2062,BBC,BBC-K,True,False,False,MIP_optimal,23.0,23,210.546,0.0,49702,106989,20696,710,0,20341,0,20.0,23.0,
L32-7,Laporte3,8,20,5,0.2188,BBC,BBC-K,True,False,False,MIP_optimal,24.0,24,8.272,0.0,12673,27474,3692,495,0,3445,0,20.0,24.0,
L7-3,Laporte3,8,20,15,0.325,BBC,BBC-K,True,False,False,MIP_optimal,20.0,20,0.008,0.0,10,69,12,12,0,6,0,20.0,20.0,
L6-7,Laporte3,8,20,10,0.35,BBC,BBC-K,True,False,False,MIP_optimal,23.0,23,738.335,0.0,76495,163236,38387,730,0,38020,0,20.0,23.0,
L8-4,Laporte3,8,20,15,0.3875,BBC,BBC-K,True,False,False,MIP_optimal,21.0,21,792.73,0.0,79388,155110,41467,901,0,41018,0,20.0,21.0,
L8-2,Laporte3,8,20,15,0.4125,BBC,BBC-K,True,False,False,MIP_optimal,22.0,22,803.709,0.0,78802,151921,41565,797,0,41166,0,20.0,22.0,
L8-9,Laporte3,8,20,15,0.4813,BBC,BBC-K,True,False,False,MIP_optimal,21.0,21,786.727,0.0,78598,153883,40774,848,0,40349,0,20.0,21.0,
L11-2,Laporte3,8,20,15,0.5938,BBC,BBC-K,True,False,False,MIP_optimal,24.0,24,182.191,0.0,45849,100655,19704,875,0,19267,0,20.0,24.0,
L11-5,Laporte3,8,20,15,0.6687,BBC,BBC-K,True,False,False,MIP_optimal,31.0,31,3.973,0.0,8688,18178,2645,498,0,2397,0,26.0,31.0,
L31-5,Laporte3,8,25,20,0.155,BBC,BBC-K,True,False,False,MIP_optimal,25.0,25,0.002,0.0,0,0,1,0,0,0,0,,25.0,
L31-6,Laporte3,8,25,20,0.16,BBC,BBC-K,True,False,False,MIP_optimal,25.0,25,0.002,0.0,0,0,1,0,0,0,0,,25.0,
L31-9,Laporte3,8,25,20,0.165,BBC,BBC-K,True,False,False,MIP_optimal,25.0,25,0.002,0.0,0,0,1,0,0,0,0,,25.0,
L28-4,Laporte3,8,25,5,0.17,BBC,BBC-K,True,False,False,MIP_optimal,27.0,27,238.123,0.0,52563,113670,23195,743,0,22824,0,25.0,27.0,
L19-8,Laporte3,8,25,20,0.27,BBC,BBC-K,True,False,False,MIP_optimal,25.0,25,0.002,0.0,0,0,1,0,0,0,0,,25.0,
L16-10,Laporte3,8,25,15,0.275,BBC,BBC-K,True,False,False,MIP_optimal,25.0,25,0.031,0.0,110,226,72,60,0,41,0,25.0,25.0,
L22-6,Laporte3,8,25,20,0.29,BBC,BBC-K,True,False,False,MIP_optimal,25.0,25,0.002,0.0,0,0,1,0,0,0,0,,25.0,
L14-8,Laporte3,8,25,15,0.295,BBC,BBC-K,True,False,False,MIP_optimal,25.0,25,0.023,0.0,101,251,48,48,0,22,0,25.0,25.0,
L14-4,Laporte3,8,25,15,0.315,BBC,BBC-K,True,False,False,MIP_optimal,25.0,25,0.043,0.0,202,390,95,82,0,51,0,25.0,25.0,
L16-1,Laporte3,8,25,15,0.325,BBC,BBC-K,True,False,False,MIP_optimal,26.0,26,824.824,0.0,79575,155828,41594,821,0,41181,0,25.0,26.0,
L13-4,Laporte3,8,25,10,0.34,BBC,BBC-K,True,False,False,MIP_optimal,35.0,35,3.083,0.0,7510,15578,2214,478,0,1977,0,31.0,35.0,
L15-5,Laporte3,8,25,15,0.365,BBC,BBC-K,True,False,False,MIP_optimal,29.0,29,787.896,0.0,79141,158231,41128,780,0,40737,0,25.0,29.0,
L20-8,Laporte3,8,25,20,0.405,BBC,BBC-K,True,False,False,MIP_optimal,25.0,25,0.009,0.0,12,72,16,16,0,7,0,25.0,25.0,
L23-6,Laporte3,8,25,20,0.435,BBC,BBC-K,True,False,False,MIP_optimal,25.0,25,0.002,0.0,0,0,1,0,0,0,0,,25.0,
L24-8,Laporte3,8,25,20,0.485,BBC,BBC-K,True,False,False,MIP_optimal,26.0,26,803.206,0.0,79069,151399,41513,824,0,41100,0,25.0,26.0,
L18-2,Laporte3,8,25,15,0.495,BBC,BBC-K,True,False,False,MIP_optimal,36.0,36,16.445,0.0,17489,36723,6040,834,0,5625,0,27.070921985815602,36.0,
L18-7,Laporte3,8,25,15,0.515,BBC,BBC-K,True,False,False,MIP_optimal,36.0,36,2.538,0.0,6283,13213,2094,411,0,1888,0,31.0,36.0,
L24-3,Laporte3,8,25,20,0.56,BBC,BBC-K,True,False,False,MIP_optimal,30.0,30,771.704,0.0,78260,164562,39843,812,0,39434,0,25.0,30.0,
L27-9,Laporte3,8,25,20,0.66,BBC,BBC-K,True,False,False,MIP_optimal,31.0,31,402.065,0.0,59418,124374,27073,771,0,26687,0,25.0,31.0,
L27-10,Laporte3,8,25,20,0.725,BBC,BBC-K,True,False,False,MIP_optimal,33.0,33,0.307,0.0,1526,3144,408,113,0,352,0,30.0,33.0,
L2-6,Laporte4,9,15,10,0.2444,BBC,BBC-K,True,False,False,MIP_optimal,15.0,15,0.002,0.0,0,0,2,5,0,0,0,,15.0,
L1-6,Laporte4,9,15,5,0.2667,BBC,BBC-K,True,False,False,MIP_time_limit_feasible,19.0,19,3600.011,10.036719706242444,206421,445244,77033,1433,0,76318,0,15.0,17.093023255813936,
L4-4,Laporte4,9,15,10,0.4889,BBC,BBC-K,True,False,False,MIP_time_limit_feasible,18.0,18,3600.012,16.666666666666664,194859,458243,80427,1429,0,79714,0,15.0,15.0,
L4-9,Laporte4,9,15,10,0.5481,BBC,BBC-K,True,False,False,MIP_optimal,20.0,20,339.199,0.0,71097,159322,23059,1083,0,22517,0,15.0,20.0,
L27-2,Laporte4,9,20,5,0.1833,BBC,BBC-K,True,False,False,MIP_time_limit_feasible,21.0,21,3600.022,4.761904761904762,164437,335502,81859,1481,0,81118,0,20.0,20.0,
L28-3,Laporte4,9,20,10,0.2,BBC,BBC-K,True,False,False,MIP_optimal,20.0,20,0.007,0.0,0,50,8,17,0,3,0,20.0,20.0,
L27-4,Laporte4,9,20,5,0.25,BBC,BBC-K,True,False,False,MIP_optimal,27.0,27,0.005,0.0,0,37,6,16,0,0,0,,27.0,
L7-1,Laporte4,9,20,15,0.3333,BBC,BBC-K,True,False,False,MIP_optimal,20.0,20,0.002,0.0,0,0,2,5,0,0,0,,20.0,
L9-3,Laporte4,9,20,15,0.3611,BBC,BBC-K,True,False,False,MIP_optimal,20.0,20,0.024,0.0,70,183,50,47,0,28,0,20.0,20.0,
L10-3,Laporte4,9,20,15,0.3833,BBC,BBC-K,True,False,False,MIP_optimal,20.0,20,0.955,0.0,2241,4346,1164,461,0,935,0,20.0,20.0,
L9-2,Laporte4,9,20,15,0.4278,BBC,BBC-K,True,False,False,MIP_optimal,20.0,20,0.041,0.0,154,305,89,75,0,51,0,20.0,20.0,
