instance,benchmark_set,J,T,C,density,solver,config,comb_cuts,frac_cuts,triplet_bounds,status,obj,obj_ktns,time_s,gap_pct,nodes,lp_iters,cb_invocations,cuts_sec,cuts_benders,cuts_comb,cuts_frac,root_lp_bound,dual_bound,notes
L1-5,Laporte3,8,15,5,0.2333,LSS,LSS,,,,MIP_optimal,16.0,16,2.8288,,,,,,,,,,,
L1-1,Laporte3,8,15,5,0.275,LSS,LSS,,,,MIP_optimal,18.0,18,0.644,,,,,,,,,,,
L3-7,Laporte3,8,15,10,0.4667,LSS,LSS,,,,MIP_optimal,19.0,19,3.4107,,,,,,,,,,,
L4-9,Laporte3,8,15,10,0.5333,LSS,LSS,,,,MIP_optimal,20.0,20,0.9658,,,,,,,,,,,
L32-4,Laporte3,8,20,5,0.1875,LSS,LSS,,,,MIP_optimal,20.0,20,4.2653,,,,,,,,,,,
L33-9,Laporte3,8,20,10,0.2062,LSS,LSS,,,,MIP_optimal,20.0,20,18.9302,,,,,,,,,,,
L33-7,Laporte3,8,20,10,0.2188,LSS,LSS,,,,MIP_optimal,20.0,20,19.2197,,,,,,,,,,,
L7-1,Laporte3,8,20,15,0.3063,LSS,LSS,,,,MIP_optimal,20.0,20,14.6496,,,,,,,,,,,
L6-2,Laporte3,8,20,10,0.35,LSS,LSS,,,,MIP_optimal,24.0,24,8.2926,,,,,,,,,,,
L7-4,Laporte3,8,20,15,0.3875,LSS,LSS,,,,MIP_optimal,20.0,20,13.1526,,,,,,,,,,,
L8-10,Laporte3,8,20,15,0.4125,LSS,LSS,,,,MIP_optimal,21.0,21,13.3591,,,,,,,,,,,
L10-8,Laporte3,8,20,15,0.4688,LSS,LSS,,,,MIP_optimal,22.0,22,10.6605,,,,,,,,,,,
L10-9,Laporte3,8,20,15,0.5687,LSS,LSS,,,,MIP_optimal,25.0,25,2.9007,,,,,,,,,,,
L11-8,Laporte3,8,20,15,0.6625,LSS,LSS,,,,MIP_optimal,30.0,30,0.2974,,,,,,,,,,,
L31-1,Laporte3,8,25,20,0.155,LSS,LSS,,,,MIP_optimal,25.0,25,16.6775,,,,,,,,,,,
L31-10,Laporte3,8,25,20,0.16,LSS,LSS,,,,MIP_optimal,25.0,25,18.2539,,,,,,,,,,,
L31-8,Laporte3,8,25,20,0.165,LSS,LSS,,,,MIP_optimal,25.0,25,17.9512,,,,,,,,,,,
L29-4,Laporte3,8,25,10,0.17,LSS,LSS,,,,MIP_optimal,25.0,25,22.9579,,,,,,,,,,,
L19-2,Laporte3,8,25,20,0.27,LSS,LSS,,,,MIP_optimal,25.0,25,16.003,,,,,,,,,,,
L14-1,Laporte3,8,25,15,0.275,LSS,LSS,,,,MIP_optimal,25.0,25,20.6477,,,,,,,,,,,
L13-9,Laporte3,8,25,10,0.285,LSS,LSS,,,,MIP_optimal,30.0,30,9.2594,,,,,,,,,,,
L14-5,Laporte3,8,25,15,0.295,LSS,LSS,,,,MIP_optimal,25.0,25,23.1814,,,,,,,,,,,
L22-2,Laporte3,8,25,20,0.315,LSS,LSS,,,,MIP_optimal,25.0,25,16.3134,,,,,,,,,,,
L13-3,Laporte3,8,25,10,0.32,LSS,LSS,,,,MIP_optimal,31.0,31,1.8048,,,,,,,,,,,
L17-2,Laporte3,8,25,15,0.335,LSS,LSS,,,,MIP_optimal,26.0,26,10.6283,,,,,,,,,,,
L23-10,Laporte3,8,25,20,0.365,LSS,LSS,,,,MIP_optimal,25.0,25,15.5,,,,,,,,,,,
L17-10,Laporte3,8,25,15,0.4,LSS,LSS,,,,MIP_optimal,29.0,29,16.7019,,,,,,,,,,,
