instance,benchmark_set,J,T,C,density,solver,config,comb_cuts,frac_cuts,triplet_bounds,status,obj,obj_ktns,time_s,gap_pct,nodes,lp_iters,cb_invocations,cuts_sec,cuts_benders,cuts_comb,cuts_frac,root_lp_bound,dual_bound,notes
L2-2,Laporte3,8,15,10,0.2333,BBC,BBC-LP+F+P,False,True,False,MIP_optimal,15.0,15,0.01,0.0,0,1,1,0,0,0,0,,15.0,
L1-4,Laporte3,8,15,5,0.2667,BBC,BBC-LP+F+P,False,True,False,MIP_optimal,18.0,18,1394.07,0.0,36614,187366,7523,675,7189,0,40297,15.0,18.0,
L3-4,Laporte3,8,15,10,0.4333,BBC,BBC-LP+F+P,False,True,False,MIP_optimal,15.999999999999996,16,2215.127,0.0,50652,216640,14756,814,14350,0,46168,15.0,15.999999999999996,
L4-5,Laporte3,8,15,10,0.525,BBC,BBC-LP+F+P,False,True,False,MIP_optimal,21.999999999999996,22,3316.795,0.0,24271,323282,3112,739,2751,0,78216,15.0,21.999999999999996,
L34-4,Laporte3,8,20,15,0.1875,BBC,BBC-LP+F+P,False,True,False,MIP_optimal,20.0,20,0.014,0.0,0,1,1,0,0,0,0,,20.0,
L34-9,Laporte3,8,20,15,0.2062,BBC,BBC-LP+F+P,False,True,False,MIP_optimal,20.0,20,0.013,0.0,0,1,1,0,0,0,0,,20.0,
L32-6,Laporte3,8,20,5,0.2125,BBC,BBC-LP+F+P,False,True,False,MIP_optimal,22.0,22,115.103,0.0,12307,39841,3858,548,3583,0,7367,20.0,22.0,
L7-5,Laporte3,8,20,15,0.3,BBC,BBC-LP+F+P,False,True,False,MIP_optimal,20.0,20,0.014,0.0,0,1,1,0,0,0,0,,20.0,
L5-4,Laporte3,8,20,10,0.35,BBC,BBC-LP+F+P,False,True,False,MIP_time_limit_feasible,23.000000000000004,23,3600.084,13.043478260869579,35159,315491,6132,762,5752,0,78825,20.0,20.0,
L9-4,Laporte3,8,20,15,0.375,BBC,BBC-LP+F+P,False,True,False,MIP_optimal,20.0,20,0.77,0.0,181,458,105,89,57,0,75,20.0,20.0,
L5-9,Laporte3,8,20,10,0.3937,BBC,BBC-LP+F+P,False,True,False,MIP_optimal,28.000000000000004,28,2294.814,0.0,20088,257174,2482,548,2211,0,64151,20.0,28.000000000000004,
L9-7,Laporte3,8,20,15,0.4562,BBC,BBC-LP+F+P,False,True,False,MIP_optimal,20.0,20,0.422,0.0,68,251,46,43,21,0,52,20.0,20.0,
L10-5,Laporte3,8,20,15,0.5437,BBC,BBC-LP+F+P,False,True,False,MIP_time_limit_feasible,23.999999999999993,24,3600.063,12.996031746031711,30519,332263,2969,658,2640,0,74286,20.0,20.880952380952383,
