instance,benchmark_set,J,T,C,density,solver,config,comb_cuts,frac_cuts,triplet_bounds,status,obj,obj_ktns,time_s,gap_pct,nodes,lp_iters,cb_invocations,cuts_sec,cuts_benders,cuts_comb,cuts_frac,root_lp_bound,dual_bound,notes
L1-10,Laporte3,8,15,5,0.2167,BBC,BBC-LP+F+P,False,True,False,MIP_optimal,15.0,15,3.992,0.0,959,2760,507,257,376,0,648,15.0,15.0,
L1-9,Laporte3,8,15,5,0.2583,BBC,BBC-LP+F+P,False,True,False,MIP_optimal,17.0,17,1114.356,0.0,36303,157397,9998,732,9632,0,33885,15.0,17.0,
L3-8,Laporte3,8,15,10,0.4083,BBC,BBC-LP+F+P,False,True,False,MIP_optimal,16.0,16,2359.897,0.0,52332,227682,13644,793,13247,0,48627,15.0,16.0,
L4-7,Laporte3,8,15,10,0.5167,BBC,BBC-LP+F+P,False,True,False,MIP_time_limit_feasible,18.0,18,3600.071,11.11111111111133,22691,366812,1409,607,1109,0,73825,15.0,15.999999999999961,
L33-10,Laporte3,8,20,10,0.1812,BBC,BBC-LP+F+P,False,True,False,MIP_optimal,20.0,20,0.013,0.0,0,1,1,0,0,0,0,,20.0,
L32-2,Laporte3,8,20,5,0.2,BBC,BBC-LP+F+P,False,True,False,MIP_optimal,21.999999999999996,22,1910.985,0.0,65972,174043,28996,837,28582,0,24096,20.0,21.999999999999996,
L33-6,Laporte3,8,20,10,0.2125,BBC,BBC-LP+F+P,False,True,False,MIP_optimal,20.0,20,0.013,0.0,0,1,1,0,0,0,0,,20.0,
L8-1,Laporte3,8,20,15,0.2938,BBC,BBC-LP+F+P,False,True,False,MIP_optimal,20.0,20,0.014,0.0,0,1,1,0,0,0,0,,20.0,
L5-3,Laporte3,8,20,10,0.3438,BBC,BBC-LP+F+P,False,True,False,MIP_time_limit_feasible,23.0,23,3600.024,13.043478260869565,43160,298550,8187,750,7816,0,71762,20.0,20.0,
L5-10,Laporte3,8,20,10,0.3688,BBC,BBC-LP+F+P,False,True,False,MIP_time_limit_feasible,25.000000000000004,25,3600.066,20.00000000000001,26204,314814,2922,664,2593,0,78964,20.0,20.0,
L9-6,Laporte3,8,20,15,0.3937,BBC,BBC-LP+F+P,False,True,False,MIP_optimal,20.0,20,0.034,0.0,0,42,8,8,3,0,2,20.0,20.0,
L8-7,Laporte3,8,20,15,0.45,BBC,BBC-LP+F+P,False,True,False,MIP_optimal,22.0,22,3306.531,0.0,72468,218461,28859,773,28473,0,39459,20.0,22.0,
