instance,benchmark_set,J,T,C,density,solver,config,comb_cuts,frac_cuts,triplet_bounds,status,obj,obj_ktns,time_s,gap_pct,nodes,lp_iters,cb_invocations,cuts_sec,cuts_benders,cuts_comb,cuts_frac,root_lp_bound,dual_bound,notes
L2-10,Laporte3,8,15,10,0.2,BBC,BBC-LP+F,False,True,False,MIP_optimal,15.0,15,0.01,0.0,0,1,1,0,0,0,0,,15.0,
L2-8,Laporte3,8,15,10,0.2417,BBC,BBC-LP+F,False,True,False,MIP_optimal,15.0,15,0.01,0.0,0,1,1,0,0,0,0,,15.0,
L1-7,Laporte3,8,15,5,0.2833,BBC,BBC-LP+F,False,True,False,MIP_optimal,19.0,19,65.64,0.0,9119,46799,1998,352,1823,0,11565,15.0,19.0,
L3-1,Laporte3,8,15,10,0.475,BBC,BBC-LP+F,False,True,False,MIP_optimal,16.999999999999993,17,2423.801,0.0,26117,382175,2022,578,1738,0,92832,15.0,16.999999999999993,
L34-1,Laporte3,8,20,15,0.1688,BBC,BBC-LP+F,False,True,False,MIP_optimal,20.0,20,0.013,0.0,0,1,1,0,0,0,0,,20.0,
L33-5,Laporte3,8,20,10,0.1938,BBC,BBC-LP+F,False,True,False,MIP_optimal,20.0,20,0.014,0.0,0,1,1,0,0,0,0,,20.0,
L32-9,Laporte3,8,20,5,0.2062,BBC,BBC-LP+F,False,True,False,MIP_optimal,21.0,21,97.6,0.0,16296,53615,4431,516,4173,0,9510,20.0,21.0,
L7-2,Laporte3,8,20,15,0.275,BBC,BBC-LP+F,False,True,False,MIP_optimal,20.0,20,0.013,0.0,0,1,1,0,0,0,0,,20.0,
L5-7,Laporte3,8,20,10,0.325,BBC,BBC-LP+F,False,True,False,MIP_optimal,22.0,22,2124.322,0.0,56139,263606,15032,818,14622,0,64387,20.0,22.0,
L6-8,Laporte3,8,20,10,0.35,BBC,BBC-LP+F,False,True,False,MIP_optimal,22.999999999999993,23,3079.227,0.0,51402,334261,10728,766,10348,0,87328,20.0,22.999999999999993,
L6-4,Laporte3,8,20,10,0.3875,BBC,BBC-LP+F,False,True,False,MIP_optimal,26.000000000000007,26,571.873,0.0,13089,140098,2458,603,2156,0,44323,20.0,26.000000000000007,
L6-1,Laporte3,8,20,10,0.4125,BBC,BBC-LP+F,False,True,False,MIP_optimal,29.0,29,475.494,0.0,21146,104149,5790,573,5505,0,27369,23.0,29.0,
L10-2,Laporte3,8,20,15,0.5125,BBC,BBC-LP+F,False,True,False,MIP_time_limit_feasible,24.0,24,3600.011,8.333333333333465,41212,401966,5234,684,4899,0,94952,20.0,21.999999999999968,
L11-1,Laporte3,8,20,15,0.6062,BBC,BBC-LP+F,False,True,False,MIP_optimal,25.0,25,488.755,0.0,14924,138705,2043,382,1854,0,36347,20.0,25.0,
L31-2,Laporte3,8,25,20,0.125,BBC,BBC-LP+F,False,True,False,MIP_optimal,25.0,25,0.015,0.0,0,1,1,0,0,0,0,,25.0,
L31-7,Laporte3,8,25,20,0.155,BBC,BBC-LP+F,False,True,False,MIP_optimal,25.0,25,0.016,0.0,0,1,1,0,0,0,0,,25.0,
L30-10,Laporte3,8,25,15,0.16,BBC,BBC-LP+F,False,True,False,MIP_optimal,25.0,25,0.016,0.0,0,1,1,0,0,0,0,,25.0,
L30-8,Laporte3,8,25,15,0.165,BBC,BBC-LP+F,False,True,False,MIP_optimal,25.0,25,0.017,0.0,0,1,1,0,0,0,0,,25.0,
L19-5,Laporte3,8,25,20,0.215,BBC,BBC-LP+F,False,True,False,MIP_optimal,25.0,25,0.016,0.0,0,1,1,0,0,0,0,,25.0,
L20-2,Laporte3,8,25,20,0.27,BBC,BBC-LP+F,False,True,False,MIP_optimal,25.0,25,0.017,0.0,0,1,1,0,0,0,0,,25.0,
