instance,benchmark_set,J,T,C,density,solver,config,comb_cuts,frac_cuts,triplet_bounds,status,obj,obj_ktns,time_s,gap_pct,nodes,lp_iters,cb_invocations,cuts_sec,cuts_benders,cuts_comb,cuts_frac,root_lp_bound,dual_bound,notes
L2-10,Laporte3,8,15,10,0.2,BBC,BBC-LP+T,False,False,True,MIP_optimal,15.0,15,0.03,0.0,0,0,1,0,0,0,0,,15.0,
L2-8,Laporte3,8,15,10,0.2417,BBC,BBC-LP+T,False,False,True,MIP_optimal,15.0,15,0.011,0.0,0,0,1,0,0,0,0,,15.0,
L1-7,Laporte3,8,15,5,0.2833,BBC,BBC-LP+T,False,False,True,MIP_optimal,18.999999999999996,19,8.412,0.0,8512,18219,2792,389,2597,0,0,15.0,18.999999999999996,
L3-1,Laporte3,8,15,10,0.475,BBC,BBC-LP+T,False,False,True,MIP_optimal,17.0,17,264.914,0.0,60134,154734,18645,835,18226,0,0,15.0,17.0,
L34-1,Laporte3,8,20,15,0.1688,BBC,BBC-LP+T,False,False,True,MIP_optimal,20.0,20,0.014,0.0,0,0,1,0,0,0,0,,20.0,
L33-5,Laporte3,8,20,10,0.1938,BBC,BBC-LP+T,False,False,True,MIP_optimal,20.0,20,0.013,0.0,0,0,1,0,0,0,0,,20.0,
L32-9,Laporte3,8,20,5,0.2062,BBC,BBC-LP+T,False,False,True,MIP_optimal,21.0,21,18.312,0.0,14190,32770,4439,538,4167,0,0,20.0,21.0,
L7-2,Laporte3,8,20,15,0.275,BBC,BBC-LP+T,False,False,True,MIP_optimal,20.0,20,0.013,0.0,0,0,1,0,0,0,0,,20.0,
L5-7,Laporte3,8,20,10,0.325,BBC,BBC-LP+T,False,False,True,MIP_optimal,21.999999999999996,22,611.574,0.0,74203,162386,30708,737,30337,0,0,20.0,21.999999999999996,
L6-8,Laporte3,8,20,10,0.35,BBC,BBC-LP+T,False,False,True,MIP_optimal,23.0,23,588.694,0.0,70779,167359,29936,862,29507,0,0,20.0,23.0,
