instance,benchmark_set,J,T,C,density,solver,config,comb_cuts,frac_cuts,triplet_bounds,status,obj,obj_ktns,time_s,gap_pct,nodes,lp_iters,cb_invocations,cuts_sec,cuts_benders,cuts_comb,cuts_frac,root_lp_bound,dual_bound,notes
L2-2,Laporte3,8,15,10,0.2333,BBC,BBC-LP+F,False,True,False,MIP_optimal,15.0,15,0.011,0.0,0,1,1,0,0,0,0,,15.0,
L1-4,Laporte3,8,15,5,0.2667,BBC,BBC-LP+F,False,True,False,MIP_optimal,18.0,18,877.822,0.0,37940,178156,9252,695,8908,0,40793,15.0,18.0,
L3-4,Laporte3,8,15,10,0.4333,BBC,BBC-LP+F,False,True,False,MIP_optimal,16.000000000000004,16,1917.712,0.0,62467,219564,21406,828,20992,0,48897,15.0,16.000000000000004,
L4-5,Laporte3,8,15,10,0.525,BBC,BBC-LP+F,False,True,False,MIP_optimal,22.000000000000004,22,2040.179,0.0,26563,258842,4522,580,4239,0,69743,15.0,22.000000000000004,
L34-4,Laporte3,8,20,15,0.1875,BBC,BBC-LP+F,False,True,False,MIP_optimal,20.0,20,0.014,0.0,0,1,1,0,0,0,0,,20.0,
L34-9,Laporte3,8,20,15,0.2062,BBC,BBC-LP+F,False,True,False,MIP_optimal,20.0,20,0.014,0.0,0,1,1,0,0,0,0,,20.0,
L32-6,Laporte3,8,20,5,0.2125,BBC,BBC-LP+F,False,True,False,MIP_optimal,22.0,22,65.14,0.0,11793,33768,4163,557,3884,0,5622,20.0,22.0,
L7-5,Laporte3,8,20,15,0.3,BBC,BBC-LP+F,False,True,False,MIP_optimal,20.0,20,0.014,0.0,0,1,1,0,0,0,0,,20.0,
L5-4,Laporte3,8,20,10,0.35,BBC,BBC-LP+F,False,True,False,MIP_time_limit_feasible,23.0,23,3600.042,7.246376811594224,36711,403149,5379,756,5002,0,111826,20.0,21.33333333333333,
L9-4,Laporte3,8,20,15,0.375,BBC,BBC-LP+F,False,True,False,MIP_optimal,20.0,20,3.178,0.0,1027,2338,575,295,425,0,359,20.0,20.0,
L5-9,Laporte3,8,20,10,0.3937,BBC,BBC-LP+F,False,True,False,MIP_optimal,28.000000000000004,28,1720.758,0.0,19408,238795,2615,501,2366,0,66717,20.0,28.000000000000004,
L9-7,Laporte3,8,20,15,0.4562,BBC,BBC-LP+F,False,True,False,MIP_optimal,20.0,20,2.034,0.0,607,1761,328,199,225,0,399,20.0,20.0,
L10-5,Laporte3,8,20,15,0.5437,BBC,BBC-LP+F,False,True,False,MIP_optimal,24.0,24,3206.477,0.0,38477,395353,4106,696,3761,0,96508,20.0,24.0,
L11-3,Laporte3,8,20,15,0.65,BBC,BBC-LP+F,False,True,False,MIP_optimal,29.999999999999996,30,928.478,0.0,18750,160864,3388,527,3126,0,44476,23.0,29.999999999999996,
L29-3,Laporte3,8,25,10,0.13,BBC,BBC-LP+F,False,True,False,MIP_optimal,25.0,25,0.016,0.0,0,1,1,0,0,0,0,,25.0,
L28-1,Laporte3,8,25,5,0.155,BBC,BBC-LP+F,False,True,False,MIP_optimal,25.0,25,2.816,0.0,871,1741,481,268,346,0,211,25.0,25.0,
L28-6,Laporte3,8,25,5,0.16,BBC,BBC-LP+F,False,True,False,MIP_optimal,25.0,25,0.107,0.0,14,78,20,28,6,0,8,25.0,25.0,
L31-4,Laporte3,8,25,20,0.17,BBC,BBC-LP+F,False,True,False,MIP_optimal,25.0,25,0.016,0.0,0,1,1,0,0,0,0,,25.0,
L12-9,Laporte3,8,25,10,0.26,BBC,BBC-LP+F,False,True,False,MIP_optimal,29.0,29,2975.595,0.0,70114,278278,24151,869,23717,0,64555,25.0,29.0,
L22-5,Laporte3,8,25,20,0.275,BBC,BBC-LP+F,False,True,False,MIP_optimal,25.0,25,0.016,0.0,0,1,1,0,0,0,0,,25.0,
L12-2,Laporte3,8,25,10,0.285,BBC,BBC-LP+F,False,True,False,MIP_time_limit_feasible,29.0,29,3600.056,13.793103448275861,54466,327985,14032,798,13636,0,90658,25.0,25.0,
L22-3,Laporte3,8,25,20,0.295,BBC,BBC-LP+F,False,True,False,MIP_optimal,25.0,25,0.016,0.0,0,1,1,0,0,0,0,,25.0,
L16-5,Laporte3,8,25,15,0.31,BBC,BBC-LP+F,False,True,False,MIP_optimal,25.0,25,0.017,0.0,0,1,1,0,0,0,0,,25.0,
L16-9,Laporte3,8,25,15,0.32,BBC,BBC-LP+F,False,True,False,MIP_optimal,25.0,25,0.174,0.0,37,128,34,34,17,0,15,25.0,25.0,
