instance,benchmark_set,J,T,C,density,solver,config,comb_cuts,frac_cuts,triplet_bounds,status,obj,obj_ktns,time_s,gap_pct,nodes,lp_iters,cb_invocations,cuts_sec,cuts_benders,cuts_comb,cuts_frac,root_lp_bound,dual_bound,notes
L2-1,Laporte3,8,15,10,0.2333,BBC,BBC-LP+T,False,False,True,MIP_optimal,15.0,15,0.032,0.0,0,0,1,0,0,0,0,,15.0,
L2-7,Laporte3,8,15,10,0.2667,BBC,BBC-LP+T,False,False,True,MIP_optimal,15.0,15,0.01,0.0,0,0,1,0,0,0,0,,15.0,
L3-10,Laporte3,8,15,10,0.425,BBC,BBC-LP+T,False,False,True,MIP_optimal,18.0,18,487.317,0.0,76141,204488,26499,840,26078,0,0,15.0,18.0,
L3-6,Laporte3,8,15,10,0.525,BBC,BBC-LP+T,False,False,True,MIP_optimal,18.999999999999996,19,75.298,0.0,28319,74967,9404,699,9054,0,0,15.0,18.999999999999996,
L32-10,Laporte3,8,20,5,0.1812,BBC,BBC-LP+T,False,False,True,MIP_optimal,21.0,21,889.216,0.0,78961,146736,40847,876,40406,0,0,20.0,21.0,
L34-8,Laporte3,8,20,15,0.2062,BBC,BBC-LP+T,False,False,True,MIP_optimal,20.0,20,0.013,0.0,0,0,1,0,0,0,0,,20.0,
L32-3,Laporte3,8,20,5,0.2125,BBC,BBC-LP+T,False,False,True,MIP_optimal,24.0,24,125.755,0.0,31843,62786,13777,731,13411,0,0,20.0,24.0,
L5-8,Laporte3,8,20,10,0.2938,BBC,BBC-LP+T,False,False,True,MIP_optimal,21.000000000000007,21,774.001,0.0,78868,154747,35019,846,34595,0,0,20.0,21.000000000000007,
L7-8,Laporte3,8,20,15,0.35,BBC,BBC-LP+T,False,False,True,MIP_optimal,20.0,20,0.013,0.0,0,0,1,0,0,0,0,,20.0,
L10-7,Laporte3,8,20,15,0.375,BBC,BBC-LP+T,False,False,True,MIP_optimal,20.0,20,0.113,0.0,107,233,70,68,34,0,0,20.0,20.0,
L5-6,Laporte3,8,20,10,0.3937,BBC,BBC-LP+T,False,False,True,MIP_optimal,26.0,26,54.575,0.0,21420,47054,7990,640,7673,0,0,20.0,26.0,
L9-1,Laporte3,8,20,15,0.45,BBC,BBC-LP+T,False,False,True,MIP_optimal,20.0,20,12.279,0.0,7561,13203,3785,702,3435,0,0,20.0,20.0,
L8-3,Laporte3,8,20,15,0.5312,BBC,BBC-LP+T,False,False,True,MIP_optimal,22.0,22,395.158,0.0,72437,180934,21107,711,20753,0,0,20.0,22.0,
L8-8,Laporte3,8,20,15,0.625,BBC,BBC-LP+T,False,False,True,MIP_optimal,27.0,27,36.205,0.0,21359,61146,5773,678,5434,0,0,20.0,27.0,
L30-3,Laporte3,8,25,15,0.13,BBC,BBC-LP+T,False,False,True,MIP_optimal,25.0,25,0.016,0.0,0,0,1,0,0,0,0,,25.0,
L29-5,Laporte3,8,25,10,0.155,BBC,BBC-LP+T,False,False,True,MIP_optimal,25.0,25,0.016,0.0,0,0,1,0,0,0,0,,25.0,
L28-10,Laporte3,8,25,5,0.16,BBC,BBC-LP+T,False,False,True,MIP_optimal,25.0,25,1.871,0.0,1389,2480,764,310,608,0,0,25.0,25.0,
L28-9,Laporte3,8,25,5,0.165,BBC,BBC-LP+T,False,False,True,MIP_optimal,25.0,25,4.88,0.0,3630,6778,1858,762,1476,0,0,25.0,25.0,
L12-3,Laporte3,8,25,10,0.25,BBC,BBC-LP+T,False,False,True,MIP_optimal,27.000000000000007,27,878.678,0.0,79163,159022,37233,692,36890,0,0,25.0,27.000000000000007,
L19-6,Laporte3,8,25,20,0.275,BBC,BBC-LP+T,False,False,True,MIP_optimal,25.0,25,0.016,0.0,0,0,1,0,0,0,0,,25.0,
L22-7,Laporte3,8,25,20,0.285,BBC,BBC-LP+T,False,False,True,MIP_optimal,25.0,25,0.016,0.0,0,0,1,0,0,0,0,,25.0,
L13-1,Laporte3,8,25,10,0.29,BBC,BBC-LP+T,False,False,True,MIP_optimal,28.999999999999993,29,717.026,0.0,73694,183519,31983,809,31575,0,0,25.0,28.999999999999993,
L22-1,Laporte3,8,25,20,0.31,BBC,BBC-LP+T,False,False,True,MIP_optimal,25.0,25,0.016,0.0,0,0,1,0,0,0,0,,25.0,
L16-3,Laporte3,8,25,15,0.32,BBC,BBC-LP+T,False,False,True,MIP_optimal,25.0,25,1.122,0.0,807,1448,443,221,331,0,0,25.0,25.0,
L17-8,Laporte3,8,25,15,0.33,BBC,BBC-LP+T,False,False,True,MIP_optimal,25.0,25,1.718,0.0,1140,2043,622,260,490,0,0,25.0,25.0,
L23-8,Laporte3,8,25,20,0.36,BBC,BBC-LP+T,False,False,True,MIP_optimal,25.0,25,0.019,0.0,0,40,7,16,0,0,0,25.0,25.0,
L23-4,Laporte3,8,25,20,0.39,BBC,BBC-LP+T,False,False,True,MIP_optimal,25.0,25,0.026,0.0,0,40,7,10,3,0,0,25.0,25.0,
L24-5,Laporte3,8,25,20,0.415,BBC,BBC-LP+T,False,False,True,MIP_optimal,25.999999999999996,26,982.562,0.0,79481,147949,38078,858,37648,0,0,25.0,25.999999999999996,
