instance,benchmark_set,J,T,C,density,solver,config,comb_cuts,frac_cuts,triplet_bounds,status,obj,obj_ktns,time_s,gap_pct,nodes,lp_iters,cb_invocations,cuts_sec,cuts_benders,cuts_comb,cuts_frac,root_lp_bound,dual_bound,notes
L2-1,Laporte3,8,15,10,0.2333,LSS,LSS,,,,MIP_optimal,15.0,15,13.6667,,,,,,,,,,,
L2-7,Laporte3,8,15,10,0.2667,LSS,LSS,,,,MIP_optimal,15.0,15,11.457,,,,,,,,,,,
L3-10,Laporte3,8,15,10,0.425,LSS,LSS,,,,MIP_optimal,18.0,18,4.7874,,,,,,,,,,,
L3-6,Laporte3,8,15,10,0.525,LSS,LSS,,,,MIP_optimal,19.0,19,0.7722,,,,,,,,,,,
L32-10,Laporte3,8,20,5,0.1812,LSS,LSS,,,,MIP_optimal,21.0,21,2.8552,,,,,,,,,,,
L34-8,Laporte3,8,20,15,0.2062,LSS,LSS,,,,MIP_optimal,20.0,20,14.1614,,,,,,,,,,,
L32-3,Laporte3,8,20,5,0.2125,LSS,LSS,,,,MIP_optimal,24.0,24,1.1428,,,,,,,,,,,
L5-8,Laporte3,8,20,10,0.2938,LSS,LSS,,,,MIP_optimal,21.0,21,13.0878,,,,,,,,,,,
L7-8,Laporte3,8,20,15,0.35,LSS,LSS,,,,MIP_optimal,20.0,20,16.877,,,,,,,,,,,
L10-7,Laporte3,8,20,15,0.375,LSS,LSS,,,,MIP_optimal,20.0,20,9.7561,,,,,,,,,,,
L5-6,Laporte3,8,20,10,0.3937,LSS,LSS,,,,MIP_optimal,26.0,26,1.5138,,,,,,,,,,,
L9-1,Laporte3,8,20,15,0.45,LSS,LSS,,,,MIP_optimal,20.0,20,9.8639,,,,,,,,,,,
L8-3,Laporte3,8,20,15,0.5312,LSS,LSS,,,,MIP_optimal,22.0,22,5.9992,,,,,,,,,,,
L8-8,Laporte3,8,20,15,0.625,LSS,LSS,,,,MIP_optimal,27.0,27,0.6201,,,,,,,,,,,
L30-3,Laporte3,8,25,15,0.13,LSS,LSS,,,,MIP_optimal,25.0,25,19.1463,,,,,,,,,,,
L29-5,Laporte3,8,25,10,0.155,LSS,LSS,,,,MIP_optimal,25.0,25,22.5366,,,,,,,,,,,
L28-10,Laporte3,8,25,5,0.16,LSS,LSS,,,,MIP_optimal,25.0,25,1.4298,,,,,,,,,,,
L28-9,Laporte3,8,25,5,0.165,LSS,LSS,,,,MIP_optimal,25.0,25,1.8279,,,,,,,,,,,
L12-3,Laporte3,8,25,10,0.25,LSS,LSS,,,,MIP_optimal,27.0,27,17.292,,,,,,,,,,,
L19-6,Laporte3,8,25,20,0.275,LSS,LSS,,,,MIP_optimal,25.0,25,18.1307,,,,,,,,,,,
L22-7,Laporte3,8,25,20,0.285,LSS,LSS,,,,MIP_optimal,25.0,25,15.3976,,,,,,,,,,,
L13-1,Laporte3,8,25,10,0.29,LSS,LSS,,,,MIP_optimal,29.0,29,4.0791,,,,,,,,,,,
L22-1,Laporte3,8,25,20,0.31,LSS,LSS,,,,MIP_optimal,25.0,25,15.2539,,,,,,,,,,,
L16-3,Laporte3,8,25,15,0.32,LSS,LSS,,,,MIP_optimal,25.0,25,21.7011,,,,,,,,,,,
