instance,benchmark_set,J,T,C,density,solver,config,comb_cuts,frac_cuts,triplet_bounds,status,obj,obj_ktns,time_s,gap_pct,nodes,lp_iters,cb_invocations,cuts_sec,cuts_benders,cuts_comb,cuts_frac,root_lp_bound,dual_bound,notes
L2-4,Laporte3,8,15,10,0.2083,BBC,BBC-LP+T,False,False,True,MIP_optimal,15.0,15,0.03,0.0,0,0,1,0,0,0,0,,15.0,
L2-3,Laporte3,8,15,10,0.2583,BBC,BBC-LP+T,False,False,True,MIP_optimal,15.0,15,0.018,0.0,0,40,7,10,3,0,0,15.0,15.0,
L3-9,Laporte3,8,15,10,0.3667,BBC,BBC-LP+T,False,False,True,MIP_optimal,15.0,15,0.391,0.0,431,734,260,169,174,0,0,15.0,15.0,
L4-6,Laporte3,8,15,10,0.5,BBC,BBC-LP+T,False,False,True,MIP_optimal,18.0,18,214.184,0.0,50546,133815,17281,821,16870,0,0,15.0,18.0,
L32-1,Laporte3,8,20,5,0.1688,BBC,BBC-LP+T,False,False,True,MIP_optimal,20.0,20,0.865,0.0,806,1449,427,202,325,0,0,20.0,20.0,
L34-2,Laporte3,8,20,15,0.2,BBC,BBC-LP+T,False,False,True,MIP_optimal,20.0,20,0.013,0.0,0,0,1,0,0,0,0,,20.0,
L34-6,Laporte3,8,20,15,0.2125,BBC,BBC-LP+T,False,False,True,MIP_optimal,20.0,20,0.015,0.0,0,0,1,0,0,0,0,,20.0,
L7-6,Laporte3,8,20,15,0.2812,BBC,BBC-LP+T,False,False,True,MIP_optimal,20.0,20,0.021,0.0,3,40,10,16,1,0,0,20.0,20.0,
L9-8,Laporte3,8,20,15,0.3312,BBC,BBC-LP+T,False,False,True,MIP_optimal,20.0,20,0.013,0.0,0,0,1,0,0,0,0,,20.0,
L9-10,Laporte3,8,20,15,0.3625,BBC,BBC-LP+T,False,False,True,MIP_optimal,20.0,20,0.029,0.0,3,49,10,10,5,0,0,20.0,20.0,
L9-2,Laporte3,8,20,15,0.3937,BBC,BBC-LP+T,False,False,True,MIP_optimal,20.0,20,0.11,0.0,122,243,70,72,34,0,0,20.0,20.0,
L10-4,Laporte3,8,20,15,0.4375,BBC,BBC-LP+T,False,False,True,MIP_optimal,21.000000000000004,21,872.211,0.0,78199,149881,35112,841,34691,0,0,20.0,21.000000000000004,
L10-6,Laporte3,8,20,15,0.525,BBC,BBC-LP+T,False,False,True,MIP_optimal,23.999999999999993,24,597.873,0.0,73451,195256,27894,786,27501,0,0,20.0,23.999999999999993,
L11-10,Laporte3,8,20,15,0.6188,BBC,BBC-LP+T,False,False,True,MIP_optimal,25.999999999999996,26,55.029,0.0,20185,41624,8055,573,7769,0,0,20.0,25.999999999999996,
L29-2,Laporte3,8,25,10,0.125,BBC,BBC-LP+T,False,False,True,MIP_optimal,25.0,25,0.016,0.0,0,0,1,0,0,0,0,,25.0,
L30-5,Laporte3,8,25,15,0.155,BBC,BBC-LP+T,False,False,True,MIP_optimal,25.0,25,0.016,0.0,0,0,1,0,0,0,0,,25.0,
L29-10,Laporte3,8,25,10,0.16,BBC,BBC-LP+T,False,False,True,MIP_optimal,25.0,25,0.017,0.0,0,0,1,0,0,0,0,,25.0,
L29-8,Laporte3,8,25,10,0.165,BBC,BBC-LP+T,False,False,True,MIP_optimal,25.0,25,0.016,0.0,0,0,1,0,0,0,0,,25.0,
L14-6,Laporte3,8,25,15,0.225,BBC,BBC-LP+T,False,False,True,MIP_optimal,25.0,25,0.016,0.0,0,0,1,0,0,0,0,,25.0,
L12-10,Laporte3,8,25,10,0.27,BBC,BBC-LP+T,False,False,True,MIP_optimal,29.0,29,977.934,0.0,80843,175285,39276,899,38827,0,0,25.0,29.0,
L13-6,Laporte3,8,25,10,0.275,BBC,BBC-LP+T,False,False,True,MIP_optimal,28.0,28,969.134,0.0,79936,161825,39963,806,39559,0,0,25.0,28.0,
L15-6,Laporte3,8,25,15,0.29,BBC,BBC-LP+T,False,False,True,MIP_optimal,25.0,25,0.45,0.0,342,592,213,166,130,0,0,25.0,25.0,
L22-10,Laporte3,8,25,20,0.305,BBC,BBC-LP+T,False,False,True,MIP_optimal,25.0,25,0.016,0.0,0,0,1,0,0,0,0,,25.0,
