instance,benchmark_set,J,T,C,density,solver,config,status,obj,obj_ktns,time_s,gap_pct,nodes,ncols,root_lp_bound,notes
L2-4,Laporte3,8,15,10,0.2083,PCFp,PCFp,optimal,5.0,15,12.79,0.0,68,677,5.000000000000001,
L2-4,Laporte3,8,15,10,0.2083,PCFp,PCFp+HP,optimal,5.0,15,0.22,0.0,1,22,5.0,
L2-4,Laporte3,8,15,10,0.2083,PCFp,PCFp+MC,optimal,5.0,15,1.81,0.0,24,248,5.0,
L2-4,Laporte3,8,15,10,0.2083,PCFp,PCFp+WS,optimal,5.0,15,14.42,0.0,121,528,5.0,
L2-4,Laporte3,8,15,10,0.2083,PCFp,PCFp+STAB,time_limit,6.0,15,600.6,,526,2460,5.000000000000001,
L2-4,Laporte3,8,15,10,0.2083,PCFp,PCFp+ACC,optimal,5.0,15,1.17,0.0,1,59,5.0,
L2-4,Laporte3,,,,,PTF,PTF,time_limit,,,660.1,,,,,OS timeout
L1-1,Laporte3,8,15,5,0.275,PCFp,PCFp,time_limit,13.0,18,600.26,,6311,7367,10.0,
L1-1,Laporte3,8,15,5,0.275,PCFp,PCFp+HP,time_limit,13.0,18,600.22,,7696,8425,10.0,
L1-1,Laporte3,8,15,5,0.275,PCFp,PCFp+MC,time_limit,13.0,18,600.28,,6670,9166,10.0,
L1-1,Laporte3,8,15,5,0.275,PCFp,PCFp+WS,time_limit,13.0,18,600.21,,6087,7269,10.0,
L1-1,Laporte3,8,15,5,0.275,PCFp,PCFp+STAB,time_limit,13.0,18,600.48,,501,2219,10.0,
L1-1,Laporte3,8,15,5,0.275,PCFp,PCFp+ACC,time_limit,13.0,18,600.7,,731,4686,10.0,
L1-1,Laporte3,,,,,PTF,PTF,time_limit,,,660.1,,,,,OS timeout
L4-7,Laporte3,8,15,10,0.5167,PCFp,PCFp,time_limit,9.0,19,600.21,,3437,9804,5.000000000000003,
L4-7,Laporte3,8,15,10,0.5167,PCFp,PCFp+HP,time_limit,9.0,19,600.24,,4705,10610,5.0000000000000036,
L4-7,Laporte3,8,15,10,0.5167,PCFp,PCFp+MC,time_limit,9.0,19,600.24,,3277,12878,5.0,
L4-7,Laporte3,8,15,10,0.5167,PCFp,PCFp+WS,time_limit,8.0,18,600.23,,3524,9247,5.0,
L4-7,Laporte3,8,15,10,0.5167,PCFp,PCFp+STAB,time_limit,10.0,19,600.64,,344,2733,5.000000000000003,
L4-7,Laporte3,8,15,10,0.5167,PCFp,PCFp+ACC,time_limit,10.0,20,601.04,,586,6552,5.0,
L4-7,Laporte3,,,,,PTF,PTF,time_limit,,,660.1,,,,,OS timeout
L33-5,Laporte3,8,20,10,0.1938,PCFp,PCFp,optimal,10.0,20,175.38,0.0,402,4313,10.0,
L33-5,Laporte3,8,20,10,0.1938,PCFp,PCFp+HP,optimal,10.0,20,40.08,0.0,156,2860,10.0,
L33-5,Laporte3,8,20,10,0.1938,PCFp,PCFp+MC,optimal,10.0,20,177.26,0.0,402,4313,10.0,
L33-5,Laporte3,8,20,10,0.1938,PCFp,PCFp+WS,optimal,10.0,20,58.61,0.0,177,2034,10.0,
L33-5,Laporte3,8,20,10,0.1938,PCFp,PCFp+STAB,optimal,10.0,20,210.92,0.0,259,2840,10.0,
L33-5,Laporte3,8,20,10,0.1938,PCFp,PCFp+ACC,optimal,10.0,20,9.04,0.0,12,216,10.0,
L33-5,Laporte3,8,20,10,0.1938,PTF,PTF,optimal,10.0,20,1.56,0.0,1,133,10.0,
L32-6,Laporte3,8,20,5,0.2125,PCFp,PCFp,time_limit,18.0,23,600.36,,1208,2412,15.0,
L32-6,Laporte3,8,20,5,0.2125,PCFp,PCFp+HP,time_limit,17.0,22,600.52,,1908,2759,15.0,
L32-6,Laporte3,8,20,5,0.2125,PCFp,PCFp+MC,time_limit,17.0,22,600.39,,1616,4361,15.0,
L32-6,Laporte3,8,20,5,0.2125,PCFp,PCFp+WS,time_limit,18.0,23,600.39,,1279,2109,15.0,
L32-6,Laporte3,8,20,5,0.2125,PCFp,PCFp+STAB,time_limit,19.0,24,602.48,,123,827,15.0,
L32-6,Laporte3,8,20,5,0.2125,PCFp,PCFp+ACC,time_limit,19.0,23,601.28,,132,1322,15.0,
