instance,benchmark_set,J,T,C,density,solver,config,status,obj,obj_ktns,time_s,gap_pct,nodes,ncols,root_lp_bound,notes
C1-3,Catanzaro,30,40,15,0.2333,PCFp,PCFp,time_limit,164.0,130,1802.36,,119,1260,24.99999999999999,
C1-3,Catanzaro,30,40,15,0.2333,PCFp,PCFp+HP,time_limit,195.0,137,1800.86,,3,18760,25.0,
C1-3,Catanzaro,30,40,15,0.2333,PCFp,PCFp+MC,time_limit,164.0,130,1835.97,,121,1290,24.99999999999999,
C1-3,Catanzaro,30,40,15,0.2333,PCFp,PCFp+WS,time_limit,155.0,125,1800.2,,120,1231,24.999999999999993,
C1-3,Catanzaro,,,,,PCFp,PCFp+STAB,time_limit,,,1860.1,,,,,OS timeout
C1-3,Catanzaro,30,40,15,0.2333,PCFp,PCFp+ACC,time_limit,155.0,125,1800.29,,61,1170,24.999999999999993,
C1-3,Catanzaro,30,40,15,0.2333,PTF,PTF,time_limit,122.0,137,1808.83,,1,1740,,
s3n006,Crama,30,40,17,0.2408,PCFp,PCFp,time_limit,150.0,120,1810.25,,114,1412,22.999999999999993,
s3n006,Crama,30,40,17,0.2408,PCFp,PCFp+HP,time_limit,198.0,125,1800.28,,3,13043,23.000000000000025,
s3n006,Crama,30,40,17,0.2408,PCFp,PCFp+MC,time_limit,150.0,120,1811.5,,114,1412,22.999999999999993,
s3n006,Crama,30,40,17,0.2408,PCFp,PCFp+WS,time_limit,146.0,108,1801.86,,47,1380,22.999999999999993,
s3n006,Crama,30,40,17,0.2408,PCFp,PCFp+STAB,time_limit,150.0,120,1803.56,,38,841,22.999999999999993,
s3n006,Crama,30,40,17,0.2408,PCFp,PCFp+ACC,time_limit,146.0,108,1800.2,,75,1140,22.999999999999993,
s3n006,Crama,,,,,PTF,PTF,time_limit,,,1860.1,,,,,OS timeout
s3n002,Crama,30,40,17,0.2483,PCFp,PCFp,time_limit,170.0,121,1825.25,,106,1197,22.999999999999996,
s3n002,Crama,,,,,PCFp,PCFp+HP,time_limit,,,1860.1,,,,,OS timeout
s3n002,Crama,30,40,17,0.2483,PCFp,PCFp+MC,time_limit,170.0,121,1830.54,,106,1197,22.999999999999996,
s3n002,Crama,30,40,17,0.2483,PCFp,PCFp+WS,time_limit,162.0,120,1815.45,,155,1111,22.999999999999996,
s3n002,Crama,30,40,17,0.2483,PCFp,PCFp+STAB,time_limit,169.0,127,1815.91,,57,844,22.999999999999996,
s3n002,Crama,30,40,17,0.2483,PCFp,PCFp+ACC,time_limit,174.0,125,1809.34,,78,1171,22.999999999999996,
s3n002,Crama,30,40,17,0.2483,PTF,PTF,time_limit,116.0,126,1833.38,,1,1826,,
C1-6,Catanzaro,30,40,15,0.2567,PCFp,PCFp,time_limit,198.0,155,1811.54,,116,1145,25.00000000000002,
C1-6,Catanzaro,30,40,15,0.2567,PCFp,PCFp+HP,time_limit,235.0,165,1800.26,,4,9910,25.00000000000002,
C1-6,Catanzaro,30,40,15,0.2567,PCFp,PCFp+MC,time_limit,198.0,155,1817.75,,116,1145,25.00000000000002,
C1-6,Catanzaro,30,40,15,0.2567,PCFp,PCFp+WS,time_limit,180.0,153,1810.56,,91,1160,24.999999999999968,
C1-6,Catanzaro,30,40,15,0.2567,PCFp,PCFp+STAB,time_limit,206.0,137,1833.42,,91,1110,25.00000000000002,
C1-6,Catanzaro,30,40,15,0.2567,PCFp,PCFp+ACC,time_limit,198.0,145,1827.87,,26,1408,25.0,
C1-6,Catanzaro,,,,,PTF,PTF,time_limit,,,1860.1,,,,,OS timeout
s3n004,Crama,30,40,17,0.265,PCFp,PCFp,time_limit,156.0,128,1800.48,,134,1111,22.99999999999999,
s3n004,Crama,30,40,17,0.265,PCFp,PCFp+HP,time_limit,216.0,141,1800.38,,3,9996,22.999999999999957,
s3n004,Crama,30,40,17,0.265,PCFp,PCFp+MC,time_limit,156.0,128,1800.34,,134,1111,22.99999999999999,
s3n004,Crama,30,40,17,0.265,PCFp,PCFp+WS,time_limit,154.0,118,1809.54,,45,1172,23.000000000000007,
s3n004,Crama,30,40,17,0.265,PCFp,PCFp+STAB,time_limit,156.0,128,1831.35,,47,1320,22.99999999999999,
s3n004,Crama,30,40,17,0.265,PCFp,PCFp+ACC,time_limit,154.0,118,1829.7,,124,900,23.000000000000007,
s3n004,Crama,30,40,17,0.265,PTF,PTF,time_limit,124.0,141,1806.81,,1,1826,,
D2-8,Catanzaro,40,60,22,0.2104,PCFp,PCFp,time_limit,374.0,241,1800.35,,1,560,38.0,
D2-8,Catanzaro,40,60,22,0.2104,PCFp,PCFp+HP,time_limit,374.0,241,1800.52,,1,18057,,
D2-8,Catanzaro,40,60,22,0.2104,PCFp,PCFp+MC,time_limit,374.0,241,1800.33,,1,560,38.0,
D2-8,Catanzaro,40,60,22,0.2104,PCFp,PCFp+WS,time_limit,,,1849.39,,30,920,37.99999999999999,
D2-8,Catanzaro,,,,,PCFp,PCFp+STAB,time_limit,,,1860.1,,,,,OS timeout
D2-8,Catanzaro,40,60,22,0.2104,PCFp,PCFp+ACC,time_limit,,,1827.54,,22,840,37.99999999999999,
D2-8,Catanzaro,,,,,PTF,PTF,time_limit,,,1860.1,,,,,OS timeout
