instance,benchmark_set,J,T,C,density,solver,config,status,obj,obj_ktns,time_s,gap_pct,nodes,ncols,root_lp_bound,notes
s3n003,Crama,30,40,15,0.2333,PCFp,PCFp,time_limit,212.0,145,1814.04,,44,1440,25.0,
s3n003,Crama,30,40,15,0.2333,PCFp,PCFp+HP,time_limit,212.0,145,1800.32,,3,13259,25.0,
s3n003,Crama,30,40,15,0.2333,PCFp,PCFp+MC,time_limit,212.0,145,1800.21,,45,1440,25.0,
s3n003,Crama,30,40,15,0.2333,PCFp,PCFp+WS,time_limit,148.0,126,1819.79,,57,1350,25.00000000000001,
s3n003,Crama,30,40,15,0.2333,PCFp,PCFp+STAB,time_limit,189.0,127,1801.23,,69,1110,25.0,
s3n003,Crama,30,40,15,0.2333,PCFp,PCFp+ACC,time_limit,148.0,126,1804.8,,69,1110,25.00000000000001,
s3n003,Crama,30,40,15,0.2333,PTF,PTF,time_limit,130.0,143,1815.55,,1,1767,,
s3n006,Crama,30,40,15,0.2408,PCFp,PCFp,time_limit,168.0,132,1820.19,,83,1262,25.000000000000004,
s3n006,Crama,30,40,15,0.2408,PCFp,PCFp+HP,time_limit,211.0,149,1800.41,,2,13299,25.000000000000025,
s3n006,Crama,30,40,15,0.2408,PCFp,PCFp+MC,time_limit,168.0,132,1822.21,,83,1262,25.000000000000004,
s3n006,Crama,30,40,15,0.2408,PCFp,PCFp+WS,time_limit,200.0,133,1800.23,,96,1230,24.99999999999999,
s3n006,Crama,30,40,15,0.2408,PCFp,PCFp+STAB,time_limit,168.0,132,1803.15,,49,1350,25.000000000000004,
s3n006,Crama,30,40,15,0.2408,PCFp,PCFp+ACC,time_limit,164.0,127,1800.23,,102,1050,24.99999999999999,
s3n006,Crama,30,40,15,0.2408,PTF,PTF,time_limit,134.0,149,1835.6,,1,1769,,
s3n002,Crama,30,40,15,0.2483,PCFp,PCFp,time_limit,164.0,138,1810.28,,75,1353,25.000000000000032,
s3n002,Crama,30,40,15,0.2483,PCFp,PCFp+HP,time_limit,214.0,160,1818.14,,2,14004,25.000000000000007,
s3n002,Crama,30,40,15,0.2483,PCFp,PCFp+MC,time_limit,164.0,138,1821.97,,75,1353,25.000000000000032,
s3n002,Crama,30,40,15,0.2483,PCFp,PCFp+WS,time_limit,164.0,142,1811.17,,63,1201,24.999999999999986,
s3n002,Crama,30,40,15,0.2483,PCFp,PCFp+STAB,time_limit,164.0,138,1834.58,,72,960,25.000000000000032,
s3n002,Crama,,,,,PCFp,PCFp+ACC,time_limit,,,1860.1,,,,,OS timeout
s3n002,Crama,30,40,15,0.2483,PTF,PTF,time_limit,145.0,156,1822.74,,1,1792,,
s3n007,Crama,30,40,15,0.2567,PCFp,PCFp,time_limit,178.0,150,1816.46,,74,1143,24.99999999999999,
s3n007,Crama,30,40,15,0.2567,PCFp,PCFp+HP,time_limit,240.0,157,1800.4,,4,12200,24.999999999999968,
s3n007,Crama,30,40,15,0.2567,PCFp,PCFp+MC,time_limit,178.0,150,1823.51,,74,1143,24.99999999999999,
s3n007,Crama,30,40,15,0.2567,PCFp,PCFp+WS,time_limit,197.0,147,1800.24,,66,1141,24.999999999999996,
s3n007,Crama,30,40,15,0.2567,PCFp,PCFp+STAB,time_limit,181.0,151,1800.19,,53,1020,24.99999999999999,
s3n007,Crama,30,40,15,0.2567,PCFp,PCFp+ACC,time_limit,207.0,155,1830.65,,66,1050,24.999999999999996,
s3n007,Crama,30,40,15,0.2567,PTF,PTF,time_limit,142.0,157,1800.23,,1,1740,,
s3n004,Crama,30,40,15,0.265,PCFp,PCFp,time_limit,173.0,156,1800.89,,82,1173,25.000000000000007,
s3n004,Crama,30,40,15,0.265,PCFp,PCFp+HP,time_limit,236.0,170,1800.33,,2,12685,25.00000000000001,
s3n004,Crama,30,40,15,0.265,PCFp,PCFp+MC,time_limit,173.0,156,1801.29,,82,1173,25.000000000000007,
s3n004,Crama,30,40,15,0.265,PCFp,PCFp+WS,time_limit,230.0,158,1813.4,,61,1200,25.00000000000001,
s3n004,Crama,,,,,PCFp,PCFp+STAB,time_limit,,,1860.1,,,,,OS timeout
s3n004,Crama,30,40,15,0.265,PCFp,PCFp+ACC,time_limit,184.0,155,1831.64,,69,1093,25.00000000000001,
s3n004,Crama,30,40,15,0.265,PTF,PTF,time_limit,155.0,170,1837.29,,1,1769,,
D1-8,Catanzaro,40,60,20,0.2104,PCFp,PCFp,time_limit,396.0,260,1811.6,,5,640,40.00000000000001,
D1-8,Catanzaro,40,60,20,0.2104,PCFp,PCFp+HP,time_limit,397.0,261,1800.62,,1,17450,,
D1-8,Catanzaro,40,60,20,0.2104,PCFp,PCFp+MC,time_limit,396.0,260,1808.17,,5,640,40.00000000000001,
D1-8,Catanzaro,40,60,20,0.2104,PCFp,PCFp+WS,time_limit,311.0,245,1800.33,,14,880,40.000000000000014,
D1-8,Catanzaro,40,60,20,0.2104,PCFp,PCFp+STAB,time_limit,396.0,260,1825.04,,5,640,40.00000000000001,
D1-8,Catanzaro,,,,,PCFp,PCFp+ACC,time_limit,,,1860.1,,,,,OS timeout
D1-8,Catanzaro,,,,,PTF,PTF,time_limit,,,1860.1,,,,,OS timeout
