instance,benchmark_set,J,T,C,density,solver,config,status,obj,obj_ktns,time_s,gap_pct,nodes,ncols,root_lp_bound,notes
L2-9,Laporte3,8,15,10,0.2167,PCFp,PCFp,optimal,5.0,15,1.02,0.0,7,70,5.0,
L2-9,Laporte3,8,15,10,0.2167,PCFp,PCFp+HP,optimal,5.0,15,0.34,0.0,1,33,5.0,
L2-9,Laporte3,8,15,10,0.2167,PCFp,PCFp+MC,optimal,5.0,15,5.0,0.0,56,653,5.0,
L2-9,Laporte3,8,15,10,0.2167,PCFp,PCFp+WS,optimal,5.0,15,3.06,0.0,17,140,5.0,
L2-9,Laporte3,8,15,10,0.2167,PCFp,PCFp+STAB,optimal,5.0,15,198.55,0.0,159,1206,5.0,
L2-9,Laporte3,8,15,10,0.2167,PCFp,PCFp+ACC,optimal,5.0,15,1.25,0.0,1,25,5.0,
L2-9,Laporte3,,,,,PTF,PTF,time_limit,,,660.1,,,,,OS timeout
L3-5,Laporte3,8,15,10,0.2833,PCFp,PCFp,optimal,5.0,15,79.9,0.0,591,2178,5.0,
L3-5,Laporte3,8,15,10,0.2833,PCFp,PCFp+HP,optimal,5.0,15,35.11,0.0,283,1886,5.0,
L3-5,Laporte3,8,15,10,0.2833,PCFp,PCFp+MC,optimal,5.0,15,9.31,0.0,85,1180,5.0,
L3-5,Laporte3,8,15,10,0.2833,PCFp,PCFp+WS,optimal,5.0,15,317.57,0.0,2245,5989,5.0,
L3-5,Laporte3,8,15,10,0.2833,PCFp,PCFp+STAB,optimal,5.0,15,149.06,0.0,99,1259,5.000000000000001,
L3-5,Laporte3,8,15,10,0.2833,PCFp,PCFp+ACC,optimal,5.0,15,402.81,0.0,368,3926,5.0,
L3-5,Laporte3,,,,,PTF,PTF,time_limit,,,660.1,,,,,OS timeout
L3-6,Laporte3,8,15,10,0.525,PCFp,PCFp,time_limit,10.0,20,600.22,,3581,9467,5.000000000000001,
L3-6,Laporte3,8,15,10,0.525,PCFp,PCFp+HP,time_limit,11.0,21,600.53,,4963,10905,5.0,
L3-6,Laporte3,8,15,10,0.525,PCFp,PCFp+MC,time_limit,10.0,20,600.26,,3793,13129,5.000000000000001,
L3-6,Laporte3,8,15,10,0.525,PCFp,PCFp+WS,time_limit,10.0,19,600.54,,4198,9098,4.999999999999999,
L3-6,Laporte3,8,15,10,0.525,PCFp,PCFp+STAB,time_limit,12.0,20,601.02,,557,3746,5.000000000000001,
L3-6,Laporte3,8,15,10,0.525,PCFp,PCFp+ACC,time_limit,10.0,20,600.61,,569,5803,4.999999999999997,
L3-6,Laporte3,,,,,PTF,PTF,time_limit,,,660.1,,,,,OS timeout
L32-5,Laporte3,8,20,5,0.1938,PCFp,PCFp,time_limit,17.0,21,600.23,,606,4002,15.0,
L32-5,Laporte3,8,20,5,0.1938,PCFp,PCFp+HP,time_limit,17.0,22,600.22,,1391,6740,15.0,
L32-5,Laporte3,8,20,5,0.1938,PCFp,PCFp+MC,time_limit,17.0,21,600.21,,1184,8623,15.0,
L32-5,Laporte3,8,20,5,0.1938,PCFp,PCFp+WS,time_limit,18.0,22,600.35,,814,3524,15.0,
L32-5,Laporte3,8,20,5,0.1938,PCFp,PCFp+STAB,time_limit,19.0,23,602.22,,111,1298,15.0,
L32-5,Laporte3,8,20,5,0.1938,PCFp,PCFp+ACC,time_limit,18.0,22,600.22,,124,2381,15.0,
L32-5,Laporte3,8,20,5,0.1938,PTF,PTF,time_limit,21.0,26,600.18,,19,2460,14.999999999999988,
L34-7,Laporte3,8,20,15,0.2188,PCFp,PCFp,optimal,5.0,20,20.27,0.0,25,177,5.0,
L34-7,Laporte3,8,20,15,0.2188,PCFp,PCFp+HP,optimal,5.0,20,1.44,0.0,3,32,5.0,
L34-7,Laporte3,8,20,15,0.2188,PCFp,PCFp+MC,optimal,5.0,20,73.98,0.0,118,2181,5.0,
L34-7,Laporte3,8,20,15,0.2188,PCFp,PCFp+WS,optimal,5.000000000000001,20,77.41,0.0,104,572,5.0,
L34-7,Laporte3,8,20,15,0.2188,PCFp,PCFp+STAB,time_limit,9.0,20,602.3,,53,643,5.0,
L34-7,Laporte3,8,20,15,0.2188,PCFp,PCFp+ACC,time_limit,9.0,20,604.78,,95,1140,5.0,
L34-7,Laporte3,8,20,15,0.2188,PTF,PTF,optimal,5.0,20,1.59,0.0,1,124,5.0,
L7-7,Laporte3,8,20,15,0.3375,PCFp,PCFp,time_limit,6.0,20,600.41,,422,4202,5.0,
L7-7,Laporte3,8,20,15,0.3375,PCFp,PCFp+HP,optimal,5.0,20,7.34,0.0,13,381,4.999999999999999,
L7-7,Laporte3,8,20,15,0.3375,PCFp,PCFp+MC,optimal,5.0,20,1.34,0.0,1,93,5.0,
L7-7,Laporte3,8,20,15,0.3375,PCFp,PCFp+WS,optimal,5.0,20,313.68,0.0,205,2640,5.0,
