instance,benchmark_set,J,T,C,density,solver,config,status,obj,obj_ktns,time_s,gap_pct,nodes,ncols,root_lp_bound,notes
L1-2,Laporte3,8,15,5,0.2583,PCFp,PCFp,time_limit,12.0,17,600.22,,5503,7784,10.0,
L1-2,Laporte3,8,15,5,0.2583,PCFp,PCFp+HP,time_limit,12.0,17,600.31,,6741,8430,10.0,
L1-2,Laporte3,8,15,5,0.2583,PCFp,PCFp+MC,time_limit,12.0,17,600.3,,5806,10250,10.0,
L1-2,Laporte3,8,15,5,0.2583,PCFp,PCFp+WS,time_limit,12.0,17,600.19,,4853,7057,10.0,
L1-2,Laporte3,8,15,5,0.2583,PCFp,PCFp+STAB,time_limit,14.0,19,600.58,,652,3394,10.0,
L1-2,Laporte3,8,15,5,0.2583,PCFp,PCFp+ACC,time_limit,14.0,19,600.36,,698,4017,9.999999999999998,
L1-2,Laporte3,,,,,PTF,PTF,time_limit,,,660.1,,,,,OS timeout
L4-10,Laporte3,8,15,10,0.4667,PCFp,PCFp,time_limit,9.0,19,600.2,,3925,8102,5.0,
L4-10,Laporte3,8,15,10,0.4667,PCFp,PCFp+HP,time_limit,10.0,20,600.26,,4054,9913,5.0,
L4-10,Laporte3,8,15,10,0.4667,PCFp,PCFp+MC,time_limit,10.0,20,600.23,,3656,11898,5.0,
L4-10,Laporte3,8,15,10,0.4667,PCFp,PCFp+WS,time_limit,9.0,19,600.21,,4090,8429,5.0,
L4-10,Laporte3,8,15,10,0.4667,PCFp,PCFp+STAB,time_limit,10.0,20,600.39,,461,3385,5.0,
L4-10,Laporte3,8,15,10,0.4667,PCFp,PCFp+ACC,time_limit,12.0,21,600.92,,573,4564,5.0,
L4-10,Laporte3,,,,,PTF,PTF,time_limit,,,660.1,,,,,OS timeout
L32-10,Laporte3,8,20,5,0.1812,PCFp,PCFp,time_limit,16.0,21,600.39,,537,4216,15.0,
L32-10,Laporte3,8,20,5,0.1812,PCFp,PCFp+HP,time_limit,18.0,23,600.39,,1309,6644,15.0,
L32-10,Laporte3,8,20,5,0.1812,PCFp,PCFp+MC,time_limit,17.0,21,600.67,,916,9530,15.0,
L32-10,Laporte3,8,20,5,0.1812,PCFp,PCFp+WS,time_limit,16.0,21,600.42,,538,3992,15.0,
