instance,benchmark_set,J,T,C,density,solver,config,status,obj,obj_ktns,time_s,gap_pct,nodes,ncols,root_lp_bound,notes
L2-3,Laporte3,8,15,10,0.2583,PCFp,PCFp,optimal,5.0,15,93.68,0.0,517,2495,5.0,
L2-3,Laporte3,8,15,10,0.2583,PCFp,PCFp+HP,optimal,5.0,15,0.32,0.0,1,25,5.0,
L2-3,Laporte3,8,15,10,0.2583,PCFp,PCFp+MC,optimal,5.0,15,5.31,0.0,58,741,5.0,
L2-3,Laporte3,8,15,10,0.2583,PCFp,PCFp+WS,optimal,5.0,15,0.3,0.0,1,17,5.0,
L2-3,Laporte3,8,15,10,0.2583,PCFp,PCFp+STAB,optimal,5.0,15,17.4,0.0,17,191,5.0,
L2-3,Laporte3,8,15,10,0.2583,PCFp,PCFp+ACC,optimal,5.0,15,1.18,0.0,1,25,5.0,
L2-3,Laporte3,,,,,PTF,PTF,time_limit,,,660.1,,,,,OS timeout
L3-7,Laporte3,8,15,10,0.4667,PCFp,PCFp,time_limit,9.0,19,600.23,,4019,8189,5.0,
L3-7,Laporte3,8,15,10,0.4667,PCFp,PCFp+HP,time_limit,9.000000000000002,19,600.28,,5629,8877,5.000000000000001,
L3-7,Laporte3,8,15,10,0.4667,PCFp,PCFp+MC,time_limit,10.0,20,600.52,,4669,11648,5.000000000000001,
L3-7,Laporte3,8,15,10,0.4667,PCFp,PCFp+WS,time_limit,10.0,19,600.49,,4018,8135,5.0,
L3-7,Laporte3,8,15,10,0.4667,PCFp,PCFp+STAB,time_limit,11.0,21,600.46,,553,2988,5.0,
L3-7,Laporte3,8,15,10,0.4667,PCFp,PCFp+ACC,time_limit,11.0,20,601.33,,591,3798,5.0,
L3-7,Laporte3,,,,,PTF,PTF,time_limit,,,660.1,,,,,OS timeout
L33-10,Laporte3,8,20,10,0.1812,PCFp,PCFp,optimal,10.0,20,39.27,0.0,133,1874,10.0,
L33-10,Laporte3,8,20,10,0.1812,PCFp,PCFp+HP,time_limit,11.0,20,600.34,,1030,9601,9.999999999999998,
L33-10,Laporte3,8,20,10,0.1812,PCFp,PCFp+MC,optimal,10.0,20,39.45,0.0,133,1874,10.0,
L33-10,Laporte3,8,20,10,0.1812,PCFp,PCFp+WS,time_limit,11.0,20,600.21,,1446,8198,10.0,
L33-10,Laporte3,8,20,10,0.1812,PCFp,PCFp+STAB,time_limit,15.0,20,602.98,,503,4702,10.0,
L33-10,Laporte3,8,20,10,0.1812,PCFp,PCFp+ACC,time_limit,12.0,20,600.96,,277,3402,10.0,
L33-10,Laporte3,8,20,10,0.1812,PTF,PTF,optimal,10.0,20,1.97,0.0,1,135,10.0,
L32-9,Laporte3,8,20,5,0.2062,PCFp,PCFp,time_limit,17.0,22,600.35,,1097,2370,15.0,
L32-9,Laporte3,8,20,5,0.2062,PCFp,PCFp+HP,time_limit,17.0,22,600.57,,1873,3247,15.0,
L32-9,Laporte3,8,20,5,0.2062,PCFp,PCFp+MC,time_limit,17.0,22,600.72,,1449,4261,15.0,
L32-9,Laporte3,8,20,5,0.2062,PCFp,PCFp+WS,time_limit,16.999999999999993,22,600.68,,1121,2118,15.0,
L32-9,Laporte3,8,20,5,0.2062,PCFp,PCFp+STAB,time_limit,17.0,22,604.44,,113,656,15.0,
L32-9,Laporte3,8,20,5,0.2062,PCFp,PCFp+ACC,time_limit,20.0,25,601.21,,122,985,15.0,
L32-9,Laporte3,8,20,5,0.2062,PTF,PTF,time_limit,19.0,24,600.98,,13,1783,14.999999999999998,
L7-5,Laporte3,8,20,15,0.3,PCFp,PCFp,time_limit,5.999999999999997,20,600.76,,397,4304,5.0,
L7-5,Laporte3,8,20,15,0.3,PCFp,PCFp+HP,optimal,5.000000000000001,20,46.75,0.0,105,1159,5.0,
L7-5,Laporte3,8,20,15,0.3,PCFp,PCFp+MC,optimal,5.0,20,38.1,0.0,68,1233,5.0,
L7-5,Laporte3,8,20,15,0.3,PCFp,PCFp+WS,time_limit,6.0,20,600.42,,386,3882,5.0,
L7-5,Laporte3,8,20,15,0.3,PCFp,PCFp+STAB,time_limit,7.0,20,602.17,,57,1093,4.999999999999999,
L7-5,Laporte3,8,20,15,0.3,PCFp,PCFp+ACC,time_limit,7.0,20,606.55,,82,2245,5.0,
L7-5,Laporte3,8,20,15,0.3,PTF,PTF,optimal,5.0,20,2.02,0.0,1,148,5.0,
L9-10,Laporte3,8,20,15,0.3625,PCFp,PCFp,time_limit,8.0,21,600.39,,415,3774,5.0,
L9-10,Laporte3,8,20,15,0.3625,PCFp,PCFp+HP,optimal,5.0,20,289.55,0.0,307,4282,5.0,
L9-10,Laporte3,8,20,15,0.3625,PCFp,PCFp+MC,optimal,5.000000000000001,20,146.22,0.0,203,3566,4.999999999999999,
L9-10,Laporte3,8,20,15,0.3625,PCFp,PCFp+WS,time_limit,6.0,20,600.22,,387,4159,4.999999999999999,
L9-10,Laporte3,8,20,15,0.3625,PCFp,PCFp+STAB,time_limit,7.9999999999999964,20,602.43,,76,982,5.0,
L9-10,Laporte3,8,20,15,0.3625,PCFp,PCFp+ACC,time_limit,12.0,22,602.9,,73,1979,5.000000000000001,
L9-10,Laporte3,8,20,15,0.3625,PTF,PTF,optimal,5.0,20,5.74,0.0,1,150,5.0,
L8-10,Laporte3,8,20,15,0.4125,PCFp,PCFp,time_limit,9.0,23,600.44,,418,3971,5.000000000000002,
L8-10,Laporte3,8,20,15,0.4125,PCFp,PCFp+HP,time_limit,9.0,23,600.3,,814,4875,4.999999999999999,
L8-10,Laporte3,8,20,15,0.4125,PCFp,PCFp+MC,time_limit,9.0,22,600.28,,628,9099,4.999999999999999,
L8-10,Laporte3,8,20,15,0.4125,PCFp,PCFp+WS,time_limit,10.0,23,600.48,,450,3561,4.999999999999999,
L8-10,Laporte3,8,20,15,0.4125,PCFp,PCFp+STAB,time_limit,14.0,22,605.74,,72,964,5.000000000000002,
L8-10,Laporte3,8,20,15,0.4125,PCFp,PCFp+ACC,time_limit,10.0,22,600.39,,65,2745,5.0,
L8-10,Laporte3,8,20,15,0.4125,PTF,PTF,time_limit,9.0,23,600.82,,41,1508,4.999999999999999,
L10-3,Laporte3,8,20,15,0.5312,PCFp,PCFp,time_limit,12.0,25,600.26,,279,4524,4.999999999999998,
