instance,benchmark_set,J,T,C,density,solver,config,status,obj,obj_ktns,time_s,gap_pct,nodes,ncols,root_lp_bound,notes
L2-5,Laporte3,8,15,10,0.2333,PCFp,PCFp,optimal,5.0,15,0.48,0.0,1,25,5.0,
L2-5,Laporte3,8,15,10,0.2333,PCFp,PCFp+HP,optimal,5.0,15,6.03,0.0,73,413,5.0,
L2-5,Laporte3,8,15,10,0.2333,PCFp,PCFp+MC,optimal,5.0,15,52.5,0.0,523,2808,5.0,
L2-5,Laporte3,8,15,10,0.2333,PCFp,PCFp+WS,optimal,5.0,15,7.02,0.0,68,265,5.0,
L2-5,Laporte3,8,15,10,0.2333,PCFp,PCFp+STAB,optimal,5.0,15,1.28,0.0,1,25,5.0,
L2-5,Laporte3,8,15,10,0.2333,PCFp,PCFp+ACC,optimal,5.0,15,77.75,0.0,77,1304,5.0,
L2-5,Laporte3,,,,,PTF,PTF,time_limit,,,660.1,,,,,OS timeout
L3-3,Laporte3,8,15,10,0.4,PCFp,PCFp,time_limit,6.999999999999998,17,600.24,,2742,9344,5.0,
L3-3,Laporte3,8,15,10,0.4,PCFp,PCFp+HP,time_limit,6.0,16,600.45,,3798,9188,5.0,
L3-3,Laporte3,8,15,10,0.4,PCFp,PCFp+MC,time_limit,6.0,16,600.52,,3297,10393,4.999999999999999,
L3-3,Laporte3,8,15,10,0.4,PCFp,PCFp+WS,time_limit,6.0,16,600.5,,2597,8213,5.0,
L3-3,Laporte3,8,15,10,0.4,PCFp,PCFp+STAB,time_limit,8.0,16,600.92,,510,3112,5.0,
L3-3,Laporte3,8,15,10,0.4,PCFp,PCFp+ACC,time_limit,8.0,17,600.91,,550,4932,5.0,
L3-3,Laporte3,,,,,PTF,PTF,time_limit,,,660.1,,,,,OS timeout
L4-8,Laporte3,8,15,10,0.5583,PCFp,PCFp,time_limit,10.0,20,600.3,,4943,7811,5.0,
L4-8,Laporte3,8,15,10,0.5583,PCFp,PCFp+HP,time_limit,10.0,20,600.51,,5881,9115,5.0,
L4-8,Laporte3,8,15,10,0.5583,PCFp,PCFp+MC,time_limit,10.0,20,600.42,,4503,11512,4.999999999999999,
L4-8,Laporte3,8,15,10,0.5583,PCFp,PCFp+WS,time_limit,10.0,20,600.21,,4084,8158,4.999999999999996,
L4-8,Laporte3,8,15,10,0.5583,PCFp,PCFp+STAB,time_limit,12.0,22,600.35,,591,2929,5.0,
